Head	B.rowMean	P.rowMean
SZUA-1001	1.747906634	1.191215629
SZUA-1002	0.081193853	0.071831511
SZUA-1003	0.05234126	0.047869124
SZUA-1004	5.601478805	4.178679362
SZUA-1005	8.10771492	5.70214208
SZUA-1006	0.449717398	0.308075404
SZUA-1009	0.32618458	0.253257606
SZUA-1010	0.171900339	0.119157807
SZUA-1011	0.674665313	0.944792671
SZUA-1012	5.706267052	6.973206309
SZUA-1013	0.550976376	0.186205634
SZUA-1014	0.572026449	0.242464794
SZUA-1015	0.024932515	0.014103334
SZUA-1017	0.211529301	0.304460542
SZUA-1019	0.018398875	0.021715473
SZUA-1021	0.600059096	0.477784406
SZUA-1023	0.182836016	0.18830692
SZUA-1024	0.291991907	0.172617388
SZUA-1025	58.24465527	51.48551386
SZUA-1027	0.236879761	0.219533514
SZUA-1028	3.310714645	2.508808109
SZUA-1029	1.845669156	1.231848742
SZUA-1030	0.540963985	0.342779511
SZUA-1031	10.19899834	10.01484724
SZUA-1032	3.537048231	3.535526128
SZUA-1033	1.754850397	1.033105556
SZUA-1034	0.040017987	0.035474753
SZUA-1035	2.515462931	2.847377229
SZUA-1036	0.348338297	0.247487313
SZUA-1037	2.497640922	1.942744804
SZUA-1038	0.70321556	0.595425145
SZUA-1039	17.2968734	10.11240606
SZUA-1040	0.216740708	1.152149885
SZUA-1041	24.13584903	15.1893285
SZUA-1044	0.107171795	0.076770582
SZUA-1045	6.094142862	5.041019618
SZUA-1046	0.173709173	0.133579791
SZUA-1047	0.282526248	0.275061895
SZUA-1050	3.018745012	3.261966754
SZUA-1051	0.613342657	0.513562105
SZUA-1052	4.604230926	2.621008123
SZUA-1053	0.01881798	0.009397324
SZUA-1054	0.00995805	0.013078876
SZUA-1055	0.290902268	0.437113622
SZUA-1057	1.116690651	0.7148817
SZUA-1058	3.807285998	4.58309713
SZUA-1061	0.782644516	1.103092588
SZUA-1062	0.027072522	0.023119385
SZUA-1063	10.61361528	6.95535286
SZUA-1064	2.489539409	2.011806174
SZUA-1065	2.555807066	1.732184501
SZUA-1067	1.435030865	1.088999041
SZUA-1068	12.08779085	8.849399585
SZUA-1069	0.031588035	0.023074226
SZUA-1070	0.358942228	0.325816379
SZUA-1071	0.007428894	0.013474097
SZUA-1072	0.022521739	0.102833377
SZUA-1074	9.987091142	6.751429095
SZUA-1075	0.004139855	0.011276253
SZUA-1077	1.412543328	1.105857167
SZUA-1078	2.032185414	1.387758706
SZUA-1079	10.3350722	9.780887726
SZUA-1080	0.144180099	0.155995739
SZUA-1081	7.632259798	6.355829197
SZUA-1082	0.208504327	0.143291154
SZUA-1084	0.370122969	0.279136479
SZUA-1089	11.38689021	13.41209042
SZUA-1091	6.037599238	6.360722806
SZUA-1093	52.92346349	50.3113675
SZUA-1094	81.88693217	53.03878471
SZUA-1095	10.19010106	11.3360014
SZUA-1096	23.75708123	40.74832331
SZUA-1097	28.58877948	23.07165575
SZUA-1099	25.10855056	26.99511586
SZUA-1100	103.1063498	73.29545516
SZUA-1102	35.14123312	26.50528074
SZUA-1103	74.90888425	102.6560293
SZUA-1104	70.58134556	87.67265985
SZUA-1105	25.91973313	22.64005199
SZUA-1116	19.85302472	27.31067987
SZUA-1117	67.24268261	75.39701525
SZUA-1119	94.70762971	55.04954315
SZUA-1120	10.56293519	60.94504887
SZUA-1123	43.83009993	55.48688044
SZUA-1124	42.857481	89.2743877
SZUA-1125	365.4378925	240.9583282
SZUA-1128	18.66647581	17.89091606
SZUA-1129	93.26134727	68.96718393
SZUA-1130	3.720295983	24.00877592
SZUA-1132	24.70110033	19.76455474
SZUA-1133	65.6101932	48.49341932
SZUA-1136	52.34001409	39.74781952
SZUA-1139	130.842737	104.5179954
SZUA-1140	11.42136399	19.04627085
SZUA-1141	42.06026989	39.03242382
SZUA-1142	110.0662715	84.35970198
SZUA-1145	42.64372668	39.00073685
SZUA-1146	88.08118469	66.27820437
SZUA-1147	3.530223665	71.6067563
SZUA-1148	0.074932284	27.48559054
SZUA-1150	32.58696727	34.62299858
SZUA-1152	37.68865496	42.67113872
SZUA-1153	53.06274873	49.00890408
SZUA-1154	41.20252163	59.10869509
SZUA-1156	157.3947705	182.8698351
SZUA-1157	42.59942746	31.52948032
SZUA-1158	98.08165981	66.4499264
SZUA-1159	80.70188852	92.44150973
SZUA-1160	25.74728038	46.59324176
SZUA-1161	48.26705203	44.0321584
SZUA-1164	54.85373805	43.91900766
SZUA-1165	448.7487469	296.8992634
SZUA-1167	92.29145339	61.67450939
SZUA-1168	38.347194	50.4950538
SZUA-1169	36.72043077	29.12036941
SZUA-1172	42.33733093	40.82905285
SZUA-1174	52.20478848	33.96011888
SZUA-1175	106.3685105	68.09077552
SZUA-1177	46.35478772	39.11134897
SZUA-1178	55.24786149	41.76731179
SZUA-1180	219.9263926	313.2130367
SZUA-1181	66.54999844	75.5633145
SZUA-1182	125.4614196	96.78726577
SZUA-1183	189.7775186	140.0428951
SZUA-1184	93.70466517	66.22639195
SZUA-1185	134.7351216	118.6204819
SZUA-1186	69.21893509	51.49243744
