Head	CymD.D.LB	CymD.D.LRP	CymD.D.MRP	CymD.D.PD.FS851	CymD.D.PD.FS852	CymD.D.PD.FS854	CymD.D.PD.FS856	CymS.D.B	CymS.D.HRP.1	CymS.D.LRP.1	CymS.D.VD.FS841	CymS.D.VD.FS842	CymS.D.VD.FS844	CymS.D.VD.FS848	CymS.D.VD.FS849	CymS.D.VD.FS866	CymS.D.VD.FS872	CymS.D.VD.FS874	CymS.D.VD.FS877	CymS.D.VD.FS879	CymS.D.VD.FS881	GyBn.D.NBP	LBAb.D.HRP	LBAb.D.LRP	LBAb.D.NBB	LBKM.D.HRP	LBKM.D.LRP	LBKM.D.MRP	LBKM.D.NBP	LBMa.D.BPB	LBMa.D.RP	LBTa.D.APB	LBTa.D.RP	LBTu.D.RP
TIGR01054	0	0	0	61	16	5	10	0	0	0	60	55	1	48	29	91	0	7	11	25	76	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02717	0	0	0	15	24	4	3	3	7	8	16	27	44	39	11	57	88	4	13	3	9	0	0	0	0	0	1	2	3	0	0	0	0	0
TIGR00016	0	0	0	10	43	8	10	3	7	8	8	10	1	0	7	0	5	87	54	6	8	5	19	16	8	13	24	59	8	0	0	3	13	40
TIGR00651	35	30	28	4	17	10	12	19	14	16	15	5	64	13	49	1	61	75	50	22	4	35	28	26	18	28	32	56	19	17	3	77	29	20
TIGR02188	57	55	50	34	94	60	63	41	54	55	68	62	52	15	30	8	25	104	67	32	38	71	73	69	82	82	82	86	84	53	30	97	89	59
PF09242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sulfide_quinone_oxidoreductase_sqr	2	2	3	22	56	41	42	0	6	17	14	47	30	22	20	4	1	3	14	34	19	4	0	16	4	0	0	0	0	0	0	0	0	0
PF08679	0	0	0	3	17	2	4	0	0	0	2	7	1	8	2	3	0	0	3	12	21	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02064	1	2	3	11	53	7	7	0	6	5	13	52	10	5	2	0	5	0	3	8	0	3	7	2	9	14	9	5	5	0	0	1	14	0
TIGR02066	1	2	3	11	53	7	7	0	6	5	12	59	13	10	3	3	5	1	5	12	21	3	7	2	9	14	9	5	5	0	0	1	14	0
PF07682	0	0	0	0	2	0	1	0	0	0	11	47	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sulfur_dioxygenase_sdo	66	71	70	9	44	2	1	46	43	49	9	23	15	15	6	2	39	155	103	35	12	96	77	53	77	49	30	84	28	79	33	93	67	35
TIGR04486	4	6	6	29	59	81	79	5	10	14	25	97	40	23	11	4	1	5	16	29	16	22	16	7	19	21	15	8	8	0	0	2	21	0
TIGR04488	5	9	8	75	39	74	79	4	4	13	4	13	14	14	8	3	0	3	10	20	16	27	6	3	3	21	13	7	6	0	0	2	7	0
TIGR04555	15	21	20	8	12	31	32	11	24	24	2	0	15	9	8	2	0	2	6	14	6	31	9	4	5	10	7	8	10	0	0	4	10	0
TIGR02910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02911	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	23	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
