Head	CymD.D.LB	CymD.D.LRP	CymD.D.MRP	CymS.D.B	CymS.D.HRP.1	CymS.D.LRP.1	GyBn.D.NBP	LBAb.D.HRP	LBAb.D.LRP	LBAb.D.NBB	LBKM.D.HRP	LBKM.D.LRP	LBKM.D.MRP	LBKM.D.NBP	LBMa.D.BPB	LBMa.D.RP	LBTa.D.APB	LBTa.D.RP	LBTu.D.RP
TIGR01054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02717	0	0	0	3	7	8	0	0	0	0	0	1	2	3	0	0	0	0	0
TIGR00016	0	0	0	3	7	8	5	19	16	8	13	24	59	8	0	0	3	13	40
TIGR00651	35	30	28	19	14	16	35	28	26	18	28	32	56	19	17	3	77	29	20
TIGR02188	57	55	50	41	54	55	71	73	69	82	82	82	86	84	53	30	97	89	59
PF09242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sulfide_quinone_oxidoreductase_sqr	2	2	3	0	6	17	4	0	16	4	0	0	0	0	0	0	0	0	0
PF08679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02064	1	2	3	0	6	5	3	7	2	9	14	9	5	5	0	0	1	14	0
TIGR02066	1	2	3	0	6	5	3	7	2	9	14	9	5	5	0	0	1	14	0
PF07682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sulfur_dioxygenase_sdo	24	28	25	8	14	14	32	39	22	53	26	16	57	7	2	18	8	34	19
TIGR04486	4	6	6	5	10	14	22	16	7	19	21	15	8	8	0	0	2	21	0
TIGR04488	5	9	8	4	4	13	27	6	3	3	21	13	7	6	0	0	2	7	0
TIGR04555	15	21	20	11	24	24	31	9	4	5	10	7	8	10	0	0	4	10	0
TIGR02910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02061	35	41	37	11	16	18	11	21	18	10	28	32	6	25	49	12	5	17	16
TIGR00339	42	48	46	27	30	34	15	41	32	26	38	49	22	41	60	12	11	44	48
TIGR00455	21	22	25	27	28	33	47	37	37	11	22	27	23	25	60	12	87	34	56
TIGR02034	2	2	3	5	8	10	24	18	11	18	22	19	57	7	2	18	77	29	7
thiosulfate_reductase_phsA	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
fefe-group-a13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fefe-group-a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fefe-group-a4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fefe-group-b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fefe-group-c1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fefe-group-c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fefe-group-c3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nife-group-1	1	2	3	2	19	12	0	0	0	0	0	0	0	0	0	0	0	0	0
nife-group-2ade	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	66	0	0
nife-group-2bc	0	0	0	2	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0
nife-group-3abd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nife-group-3c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nife-group-4a-g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nife-group-4hi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR03080	0	0	0	0	0	0	3	6	3	3	7	5	2	1	0	0	2	7	0
TIGR03079	0	0	0	0	0	0	3	6	3	3	7	5	2	1	0	0	2	7	0
TIGR03078	0	0	0	0	0	0	12	6	3	3	7	5	2	1	0	0	2	7	0
PF02406	3	4	3	7	11	12	35	0	0	0	1	2	4	11	2	18	6	13	12
TIGR04550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR03256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR03257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR03259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR01861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR01282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR01286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR01860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR01287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrite_oxidoreductase_nxrA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrite_oxidoreductase_nxrB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR01706	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
PF03892	1	2	3	0	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0
TIGR01580	0	0	0	1	1	1	10	6	19	7	7	5	2	1	0	0	2	7	0
TIGR01660	0	0	0	1	1	1	11	6	19	7	7	5	2	1	0	0	2	7	0
TIGR03153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF02335	1	2	3	4	4	4	7	0	0	0	1	1	1	1	0	0	0	0	0
TIGR03152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR03148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02374	1	2	3	2	12	12	24	14	5	19	35	18	14	7	2	18	8	37	5
TIGR02378	1	2	3	6	15	15	24	19	7	21	35	18	57	7	2	18	8	37	5
TIGR02376	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	7
nitrite_reductase_nirS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitric_oxide_reductase_norB	0	0	0	2	6	7	0	0	0	0	0	0	4	0	0	0	0	0	0
nitric_oxide_reductase_norC	6	4	5	5	4	4	3	23	20	9	9	16	12	14	0	0	2	7	20
PF05048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR04247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR04246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hydrazine_oxidase_hzoA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hydrazine_synthase_hzsA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR04315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02891	50	56	54	40	47	48	55	21	16	15	53	41	19	43	52	12	20	34	0
TIGR02866	52	53	51	28	39	36	39	23	16	28	59	61	26	72	26	24	15	34	12
TIGR00780	3	4	5	6	33	27	10	7	2	9	14	8	9	3	2	18	8	14	7
TIGR00781	3	4	5	2	21	14	11	7	2	9	14	8	13	3	2	18	8	14	7
TIGR00782	19	20	19	12	35	30	25	13	6	23	19	14	19	25	2	18	13	43	32
TIGR01433	0	0	0	2	6	7	8	0	0	0	1	0	43	0	0	0	0	0	0
TIGR02847	0	0	0	2	6	7	8	0	0	0	0	0	0	0	0	0	0	0	0
TIGR01473	72	75	72	42	54	53	84	71	57	102	66	66	37	72	100	36	94	74	84
PF01654	4	3	3	2	6	11	15	0	0	0	9	5	137	8	2	18	13	29	5
TIGR00203	0	0	0	2	6	11	8	0	0	0	7	3	129	1	2	18	6	7	0
TIGR01432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanol_dehydrogenase_pqq_xoxF_mxaF	41	41	39	31	51	58	50	9	4	5	11	11	8	16	3	36	15	7	0
TIGR04266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02659	0	0	0	3	7	8	11	0	0	0	1	1	1	2	0	0	0	0	0
TIGR02658	0	0	0	1	1	2	11	0	0	0	1	1	1	2	0	0	0	0	0
TIGR02819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02821	2	2	2	3	3	3	11	0	0	0	3	5	48	5	3	36	10	0	12
TIGR02818	9	11	10	5	4	4	21	3	2	7	9	10	8	11	3	36	17	7	16
TIGR03451	20	22	20	11	10	12	12	0	0	0	0	0	0	0	0	0	0	0	0
TIGR03126	0	0	0	5	18	20	30	12	5	6	16	12	5	3	0	0	3	14	0
TIGR03119	0	0	0	2	6	7	13	12	5	6	14	11	6	3	0	0	3	14	0
TIGR03120	0	0	0	2	6	7	15	6	3	3	9	7	3	2	0	0	2	7	0
TIGR01591	19	23	24	28	31	36	24	24	21	4	54	70	15	59	43	27	13	4	28
TIGR01582	5	6	6	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR01583	9	13	11	9	8	10	9	11	7	5	12	10	5	6	2	18	9	10	7
carbon_monoxide_dehydrogenase_coxS	232	252	240	110	97	116	53	106	98	56	67	92	34	89	146	31	21	34	87
carbon_monoxide_dehydrogenase_coxM	193	197	187	82	74	87	50	171	139	150	62	91	48	74	147	49	21	39	119
TIGR02416	303	341	305	157	144	172	70	98	84	62	65	91	45	88	71	12	12	20	159
rubisco_form_I	1	2	3	0	5	3	0	10	4	16	13	7	10	4	0	0	6	14	12
rubisco_form_II	0	0	0	0	0	0	4	3	2	7	0	0	0	0	0	0	0	0	0
rubisco_form_II_III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rubisco_form_III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rubisco_form_IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR00316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR01702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acetate_citrate_lyase_aclA	0	0	0	0	0	0	1	0	16	4	0	0	0	0	0	0	0	0	0
acetate_citrate_lyase_aclB	0	0	0	0	0	0	1	0	16	4	0	0	0	0	0	0	0	0	7
TIGR01792	9	10	11	17	30	34	16	32	26	14	30	37	61	28	2	18	14	29	52
TIGR00192	9	10	11	22	34	38	18	22	20	9	25	28	59	20	2	18	13	35	52
TIGR00193	9	10	11	22	34	38	18	22	20	9	25	28	59	20	2	18	13	35	52
TIGR01428	153	170	160	123	107	124	20	100	96	79	67	108	29	105	77	54	35	39	70
TIGR02486	31	38	41	23	23	27	16	36	37	7	7	11	22	23	110	25	12	18	59
TIGR03479	9	8	8	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	7
TIGR03478	5	4	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7
PF06778	43	44	42	21	19	22	17	11	14	4	12	18	15	20	0	0	3	16	25
TIGR02694	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02693	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
TIGR00014	14	15	15	23	34	37	44	56	46	33	69	73	85	68	64	30	98	72	57
TIGR02691	2	2	2	9	11	12	8	5	7	2	6	7	10	13	36	6	71	20	21
TIGR02689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR03312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR03313	2	2	3	2	1	2	7	0	0	0	0	0	0	0	0	0	0	0	0
TIGR03315	13	10	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12
TIGR01323	46	51	49	28	27	31	10	22	21	7	11	14	5	19	0	0	3	3	11
TIGR03888	10	13	14	14	15	16	8	20	20	3	7	11	3	13	0	0	4	3	11
TIGR03507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR03509	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MtrB_TIGR03509	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cyc1	14	16	19	14	27	26	45	47	28	41	44	22	22	11	26	24	19	73	12
Cyc2_repCluster1	0	0	0	0	0	0	3	2	2	4	1	1	5	9	36	6	0	0	0
Cyc2_repCluster2	0	0	0	0	0	0	3	2	2	4	1	1	5	9	36	6	0	0	0
Cyc2_repCluster3	0	0	0	0	0	0	3	2	2	4	1	1	5	9	36	6	0	0	0
FoxA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FoxB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FoxC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FoxE	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0
FoxY	6	8	8	5	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0
FoxZ	17	17	14	31	24	26	5	3	2	7	1	2	5	2	0	0	1	13	24
MtoA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Sulfocyanin	0	0	0	0	0	0	0	0	0	0	0	1	1	5	0	0	0	0	0
Manganese_oxidase_K06324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Manganese_oxidase_K22348	3	5	5	4	4	6	5	0	0	0	7	8	6	17	36	6	8	21	36
Manganese_oxidase_K22349	6	8	8	3	1	3	6	0	0	0	0	0	0	0	0	0	0	0	0
Manganese_oxidase_K22350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
masD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lactate_dehydrogenase	9	17	12	22	26	30	23	32	24	50	21	16	143	11	8	89	36	28	14
phosphate_acetyltransferase	9	12	12	8	7	8	11	4	4	1	3	3	44	1	0	0	69	0	0
acetate_kinase	0	0	0	4	12	13	2	0	0	0	1	0	43	0	0	0	0	0	0
acetyl-CoA_synthetase	61	65	62	52	65	69	72	108	93	130	85	98	132	112	51	30	97	99	96
aldehyde_dehydrogenase	348	396	389	354	428	464	406	574	455	472	431	417	1164	368	478	661	1024	440	320
alcohol_dehydrogenase	348	397	370	356	432	479	489	388	343	336	371	381	1327	318	277	671	772	357	449
KEGG.B01	3	4	3	7	7	8	69	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B05	0	0	0	0	0	0	100	0	0	0	0	0	0	0	10	107	30	0	0
KEGG.B06	0	0	0	1	1	1	23	0	0	0	1	0	86	0	10	107	15	0	7
KEGG.B07	14	17	17	19	16	19	5	15	16	1	27	37	6	42	30	59	27	13	11
KEGG.B08	32	29	28	11	8	11	48	35	35	19	40	49	14	51	92	71	96	18	16
KEGG.B09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B11	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B14	31	33	30	13	12	15	12	15	16	1	11	13	3	17	25	6	7	7	0
KEGG.B15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B17	43	51	49	9	9	10	4	5	4	2	3	3	4	5	0	0	1	9	11
KEGG.B18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
