Head	P.rowMean
SZUA-1001	184.4026921
SZUA-1002	200.9678359
SZUA-1003	31.07652169
SZUA-1004	28.84341707
SZUA-1005	141.9007387
SZUA-1006	108.4603589
SZUA-1009	47.75515776
SZUA-1010	46.84533045
SZUA-1011	47.00290341
SZUA-1012	55.21428953
SZUA-1013	28.63128299
SZUA-1014	32.07887438
SZUA-1015	57.14325976
SZUA-1017	96.84381582
SZUA-1019	80.16335611
SZUA-1021	52.98983401
SZUA-1023	50.64307856
SZUA-1024	39.05487038
SZUA-1025	42.55194045
SZUA-1027	29.97891243
SZUA-1028	25.96666839
SZUA-1029	26.38383149
SZUA-1030	317.5251296
SZUA-1031	49.94669489
SZUA-1032	40.52123104
SZUA-1033	92.91860993
SZUA-1034	28.98220558
SZUA-1035	39.86660239
SZUA-1036	25.63995532
SZUA-1037	27.62484954
SZUA-1038	44.66615376
SZUA-1039	305.7635753
SZUA-1040	503.3406522
SZUA-1041	37.13587252
SZUA-1044	65.2883484
SZUA-1045	53.3044179
SZUA-1046	69.36658694
SZUA-1047	125.0704629
SZUA-1050	86.08862814
SZUA-1051	99.45228625
SZUA-1052	490.0437899
SZUA-1053	31.39879124
SZUA-1054	219.6934852
SZUA-1055	204.4688624
SZUA-1057	44.04296863
SZUA-1058	493.0275374
SZUA-1061	25.3150302
SZUA-1062	28.30627898
SZUA-1063	58.8609081
SZUA-1064	36.89602062
SZUA-1065	40.78673353
SZUA-1067	47.02660245
SZUA-1068	111.1854548
SZUA-1069	221.8134068
SZUA-1070	47.14696873
SZUA-1071	198.1599024
SZUA-1072	206.8704055
SZUA-1074	137.3755456
SZUA-1075	276.6359429
SZUA-1077	35.68427087
SZUA-1078	163.2162565
SZUA-1079	72.70304486
SZUA-1080	55.85041428
SZUA-1081	34.10775483
SZUA-1082	173.0321509
SZUA-1084	30.23667467
SZUA-1089	12.70214011
SZUA-1091	1.04295802
SZUA-1093	0.369475144
SZUA-1094	1.530860544
SZUA-1095	4.93879334
SZUA-1096	0.75146544
SZUA-1097	5.041544651
SZUA-1099	2.687192485
SZUA-1100	8.042506996
SZUA-1102	13.0814129
SZUA-1103	16.6060826
SZUA-1104	0.413891029
SZUA-1105	0.672628604
SZUA-1116	0.430347344
SZUA-1117	0.859967742
SZUA-1119	2.361358762
SZUA-1120	89.72961268
SZUA-1123	0.273229973
SZUA-1124	16.04762509
SZUA-1125	524.6389721
SZUA-1128	0.094955439
SZUA-1129	20.72261003
SZUA-1130	6.579385601
SZUA-1132	0.431001756
SZUA-1133	13.3795002
SZUA-1136	3.632043888
SZUA-1139	0.054185532
SZUA-1140	0.891474447
SZUA-1141	7.754693742
SZUA-1142	105.2233547
SZUA-1145	0.900684823
SZUA-1146	31.21795073
SZUA-1147	0.721576029
SZUA-1148	0.001240904
SZUA-1150	1.683429022
SZUA-1152	0.676924708
SZUA-1153	0.66686578
SZUA-1154	29.66196861
SZUA-1156	0.813688028
SZUA-1157	1.018270941
SZUA-1158	1.6900478
SZUA-1159	3.461031709
SZUA-1160	1.277429684
