Head	B.rowMean	P.rowMean
SZUA-1001	4.394364843	3.976681557
SZUA-1002	0.313755669	0.764091306
SZUA-1003	0.051741089	0.063907403
SZUA-1004	1.197553225	2.683589627
SZUA-1005	10.44195398	13.6304886
SZUA-1006	0.522955172	0.344200517
SZUA-1009	0.091785033	0.2444587
SZUA-1010	1.57725915	2.077993375
SZUA-1011	1.081142646	0.779616643
SZUA-1012	14.62013237	24.47585702
SZUA-1013	0.374373192	0.127277539
SZUA-1014	0.036051579	0.052003499
SZUA-1015	0.006345547	0.007966464
SZUA-1017	735.685939	410.3488985
SZUA-1019	0.001741616	0.00283291
SZUA-1021	0.824305348	0.520217371
SZUA-1023	0.085209868	0.148742163
SZUA-1024	0.070566507	0.045773122
SZUA-1025	127.9374723	108.0917126
SZUA-1027	0.073589564	0.074367003
SZUA-1028	1.011667171	1.275282393
SZUA-1029	0.152939174	0.218854989
SZUA-1030	0.57807493	0.357772102
SZUA-1031	2.446709641	4.520984857
SZUA-1032	0.434293387	0.786745804
SZUA-1033	0.493621677	0.94774405
SZUA-1034	0.041417969	0.017711316
SZUA-1035	0.949363167	1.386715917
SZUA-1036	0.272184345	0.331640633
SZUA-1037	4.359425058	4.955704867
SZUA-1038	57.45277851	33.0225383
SZUA-1039	6.458469541	4.040931708
SZUA-1040	0.82687927	0.987480772
SZUA-1041	2.308580797	2.278205997
SZUA-1044	0.056450704	0.106778258
SZUA-1045	1.307472563	0.993944505
SZUA-1046	0.174133901	0.299346182
SZUA-1047	1.038988555	2.150268348
SZUA-1050	0.300018619	0.676797253
SZUA-1051	2.033339202	2.156740449
SZUA-1052	0.668667877	0.478199359
SZUA-1053	0.041667783	0.044570358
SZUA-1054	0.004015581	0.002870357
SZUA-1055	9.344548679	7.572463292
SZUA-1057	0.687420241	0.290495293
SZUA-1058	10.90137324	16.67835231
SZUA-1061	2.014383705	3.440591612
SZUA-1062	0.006696553	0.000949214
SZUA-1063	11.67305502	15.09242593
SZUA-1064	8.284331878	5.240222193
SZUA-1065	7.809205562	9.492396526
SZUA-1067	3.491421974	6.216190754
SZUA-1068	1.341549427	1.866514606
SZUA-1069	0.04088267	0.028173627
SZUA-1070	0.079362672	0.121872462
SZUA-1071	0.063675351	0.09164386
SZUA-1072	0.025947165	0.044706658
SZUA-1074	9.956886319	12.72566797
SZUA-1075	0.003474362	0.004616176
SZUA-1077	1.595879468	1.572137149
SZUA-1078	1.913737028	2.614702797
SZUA-1079	4.830436294	6.88469056
SZUA-1080	0.03335732	0.15489269
SZUA-1081	7.685594818	3.385014487
SZUA-1082	0.33549443	0.258206433
SZUA-1084	0.121516627	0.25040854
SZUA-1089	2.020710793	4.765636258
SZUA-1091	13.7951804	33.1887863
SZUA-1093	6.150715126	6.624834624
SZUA-1094	17.8129487	9.741967882
SZUA-1095	16.21679846	29.42035386
SZUA-1096	2.333707391	3.702877899
SZUA-1097	11.6112426	16.56210662
SZUA-1099	6.4365775	7.719440879
SZUA-1100	200.1091029	62.76407173
SZUA-1102	31.78381795	22.67750694
SZUA-1103	154.7986696	278.8292012
SZUA-1104	24.64404068	24.23752717
SZUA-1105	6.852202256	5.32372315
SZUA-1116	0.916250419	0.771693297
SZUA-1117	3.535259578	3.629940311
SZUA-1119	4.987656723	4.643632269
SZUA-1120	627.2792208	419.2665709
SZUA-1123	1.639759881	0.772425247
SZUA-1124	14.11203279	18.88313358
SZUA-1125	421.7876547	585.6516907
SZUA-1128	2.939256053	2.696205623
SZUA-1129	100.6113256	46.96253988
SZUA-1130	41.52947394	28.12889609
SZUA-1132	1.435514935	1.340358812
SZUA-1133	43.13652972	21.57435515
SZUA-1136	5.160382981	4.589966921
SZUA-1139	2.835282705	2.72208516
SZUA-1140	14.02921369	14.32039181
SZUA-1141	15.87528928	23.67758283
SZUA-1142	9.825556367	14.07786642
SZUA-1145	0.657620385	0.652089342
SZUA-1146	151.8772138	62.92946741
SZUA-1147	0.594151127	0.506622112
SZUA-1148	0.020822374	0.032942164
SZUA-1150	8.051115839	6.629136399
SZUA-1152	21.97667435	34.06241003
SZUA-1153	6.050309656	6.58657804
SZUA-1154	367.7797232	254.1375287
SZUA-1156	11.72585127	13.16029135
SZUA-1157	57.71351623	29.78222482
SZUA-1158	142.4709506	218.5003301
SZUA-1159	31.43433389	49.94937439
SZUA-1160	2.097733163	3.64472266
SZUA-1161	0.830531328	0.789021103
SZUA-1164	62.5677391	30.77613825
SZUA-1165	490.7850158	686.1258746
