Head	B.Cym.mean	P.Cym.mean	P.GyBn.mean	B.Lau.mean	P.Lau.mean
SZUA-1001	1.747906634	1.191215629	184.4026921	4.394364843	3.976681557
SZUA-1002	0.081193853	0.071831511	200.9678359	0.313755669	0.764091306
SZUA-1003	0.05234126	0.047869124	31.07652169	0.051741089	0.063907403
SZUA-1004	5.601478805	4.178679362	28.84341707	1.197553225	2.683589627
SZUA-1005	8.10771492	5.70214208	141.9007387	10.44195398	13.6304886
SZUA-1006	0.449717398	0.308075404	108.4603589	0.522955172	0.344200517
SZUA-1009	0.32618458	0.253257606	47.75515776	0.091785033	0.2444587
SZUA-1010	0.171900339	0.119157807	46.84533045	1.57725915	2.077993375
SZUA-1011	0.674665313	0.944792671	47.00290341	1.081142646	0.779616643
SZUA-1012	5.706267052	6.973206309	55.21428953	14.62013237	24.47585702
SZUA-1013	0.550976376	0.186205634	28.63128299	0.374373192	0.127277539
SZUA-1014	0.572026449	0.242464794	32.07887438	0.036051579	0.052003499
SZUA-1015	0.024932515	0.014103334	57.14325976	0.006345547	0.007966464
SZUA-1017	0.211529301	0.304460542	96.84381582	735.685939	410.3488985
SZUA-1019	0.018398875	0.021715473	80.16335611	0.001741616	0.00283291
SZUA-1021	0.600059096	0.477784406	52.98983401	0.824305348	0.520217371
SZUA-1023	0.182836016	0.18830692	50.64307856	0.085209868	0.148742163
SZUA-1024	0.291991907	0.172617388	39.05487038	0.070566507	0.045773122
SZUA-1025	58.24465527	51.48551386	42.55194045	127.9374723	108.0917126
SZUA-1027	0.236879761	0.219533514	29.97891243	0.073589564	0.074367003
SZUA-1028	3.310714645	2.508808109	25.96666839	1.011667171	1.275282393
SZUA-1029	1.845669156	1.231848742	26.38383149	0.152939174	0.218854989
SZUA-1030	0.540963985	0.342779511	317.5251296	0.57807493	0.357772102
SZUA-1031	10.19899834	10.01484724	49.94669489	2.446709641	4.520984857
SZUA-1032	3.537048231	3.535526128	40.52123104	0.434293387	0.786745804
SZUA-1033	1.754850397	1.033105556	92.91860993	0.493621677	0.94774405
SZUA-1034	0.040017987	0.035474753	28.98220558	0.041417969	0.017711316
SZUA-1035	2.515462931	2.847377229	39.86660239	0.949363167	1.386715917
SZUA-1036	0.348338297	0.247487313	25.63995532	0.272184345	0.331640633
SZUA-1037	2.497640922	1.942744804	27.62484954	4.359425058	4.955704867
SZUA-1038	0.70321556	0.595425145	44.66615376	57.45277851	33.0225383
SZUA-1039	17.2968734	10.11240606	305.7635753	6.458469541	4.040931708
SZUA-1040	0.216740708	1.152149885	503.3406522	0.82687927	0.987480772
SZUA-1041	24.13584903	15.1893285	37.13587252	2.308580797	2.278205997
SZUA-1044	0.107171795	0.076770582	65.2883484	0.056450704	0.106778258
SZUA-1045	6.094142862	5.041019618	53.3044179	1.307472563	0.993944505
SZUA-1046	0.173709173	0.133579791	69.36658694	0.174133901	0.299346182
SZUA-1047	0.282526248	0.275061895	125.0704629	1.038988555	2.150268348
SZUA-1050	3.018745012	3.261966754	86.08862814	0.300018619	0.676797253
SZUA-1051	0.613342657	0.513562105	99.45228625	2.033339202	2.156740449
SZUA-1052	4.604230926	2.621008123	490.0437899	0.668667877	0.478199359
SZUA-1053	0.01881798	0.009397324	31.39879124	0.041667783	0.044570358
SZUA-1054	0.00995805	0.013078876	219.6934852	0.004015581	0.002870357
SZUA-1055	0.290902268	0.437113622	204.4688624	9.344548679	7.572463292
SZUA-1057	1.116690651	0.7148817	44.04296863	0.687420241	0.290495293
SZUA-1058	3.807285998	4.58309713	493.0275374	10.90137324	16.67835231
SZUA-1061	0.782644516	1.103092588	25.3150302	2.014383705	3.440591612
SZUA-1062	0.027072522	0.023119385	28.30627898	0.006696553	0.000949214
SZUA-1063	10.61361528	6.95535286	58.8609081	11.67305502	15.09242593
SZUA-1064	2.489539409	2.011806174	36.89602062	8.284331878	5.240222193
SZUA-1065	2.555807066	1.732184501	40.78673353	7.809205562	9.492396526
SZUA-1067	1.435030865	1.088999041	47.02660245	3.491421974	6.216190754
SZUA-1068	12.08779085	8.849399585	111.1854548	1.341549427	1.866514606
SZUA-1069	0.031588035	0.023074226	221.8134068	0.04088267	0.028173627
SZUA-1070	0.358942228	0.325816379	47.14696873	0.079362672	0.121872462
SZUA-1071	0.007428894	0.013474097	198.1599024	0.063675351	0.09164386
SZUA-1072	0.022521739	0.102833377	206.8704055	0.025947165	0.044706658
