Head	CymD.C.HB	CymD.C.HRP	CymD.C.LB	CymD.C.LRP	CymD.C.MRP
HVA-1089	339	448	65	354	232
HVA-1091	281	298	298	721	825
HVA-1093	4409	9354	1048	6574	8216
HVA-1094	2866	2317	1873	1759	2495
HVA-1095	125	75	118	308	286
HVA-1096	1612	842	160	2707	1319
HVA-1097	275	827	107	385	294
HVA-1099	675	919	149	1443	952
HVA-1100	1156	923	1044	4331	4898
HVA-1102	433	112	3118	522	363
HVA-1103	17166	2030	193701	25776	44482
HVA-1104	4242	6249	621	5382	3952
HVA-1105	170	296	73	247	152
HVA-1116	434	814	70	801	677
HVA-1117	2690	1963	334	4618	2143
HVA-1119	1019	4022	235	1312	2920
HVA-1120	787	24090	1144	3680	4280
HVA-1123	3334	4056	382	4748	3832
HVA-1124	888	1217	779	2984	2287
HVA-1125	1640	975	2476	3983	4209
HVA-1128	2329	2336	535	3633	1689
HVA-1129	754	440	2026	3837	3699
HVA-1130	131	2575	346	370	426
HVA-1132	1031	1538	241	1192	942
HVA-1133	103	337	32	96	179
HVA-1136	1370	2545	266	1706	1673
HVA-1139	9539	11611	1931	12729	4704
HVA-1140	1139	784	191	2683	2322
HVA-1141	1353	1860	353	2756	1842
HVA-1142	1356	2389	504	1488	850
HVA-1145	353	1144	114	553	486
HVA-1146	943	917	1738	8302	8540
HVA-1147	1358	15205	9353	2047	5792
HVA-1148	1111	2109	11866	2267	13273
HVA-1150	258	87	864	594	1850
HVA-1152	3010	5268	570	4993	4905
HVA-1153	4863	9721	1140	7114	9097
HVA-1154	1481	47635	1464	20466	14370
HVA-1156	21741	19508	3782	33291	23564
HVA-1157	411	461	205	1399	1592
HVA-1158	305	319	481	877	2098
HVA-1159	3968	9098	1434	9920	8223
HVA-1160	1725	874	176	2850	1471
HVA-1161	391	1029	99	540	529
HVA-1164	728	402	1034	2551	1662
HVA-1165	7075	3978	6879	38344	27961
HVA-1167	23020	4825	9356	5470	5825
HVA-1168	4442	3592	4703	3639	2963
HVA-1169	204	527	163	1050	517
HVA-1172	4878	4520	898	7326	3284
HVA-1174	1587	1396	226	1042	1517
HVA-1175	1317	4098	283	1678	3010
HVA-1177	1406	1847	239	2541	2193
HVA-1178	1546	2688	289	1892	1972
HVA-1180	58582	34529	1006379	64707	96409
HVA-1181	2833	1821	360	4594	2224
HVA-1182	523	354	1670	1422	997
HVA-1183	11514	13759	2432	14905	4767
HVA-1184	1259	992	1289	4441	4633
HVA-1185	8384	10132	1541	9747	5643
HVA-1186	383	272	394	1891	1935
HVA-1189	10878	13474	2184	12395	7949
HVA-1190	2684	4874	447	3111	1791
