Head	CymD.D.LB	CymD.D.LRP	CymD.D.MRP
HVA-1089	5	6	4
HVA-1091	6	4	4
HVA-1093	73	66	66
HVA-1094	123	82	75
HVA-1095	6	10	6
HVA-1096	29	71	40
HVA-1097	21	15	14
HVA-1099	16	21	14
HVA-1100	118	81	69
HVA-1102	78	49	45
HVA-1103	93	137	106
HVA-1104	35	35	32
HVA-1105	8	8	7
HVA-1116	18	30	22
HVA-1117	69	108	57
HVA-1119	151	89	77
HVA-1120	16	18	21
HVA-1123	45	60	62
HVA-1124	61	29	20
HVA-1125	358	251	168
HVA-1128	13	15	10
HVA-1129	134	111	86
HVA-1130	2	2	2
HVA-1132	21	17	17
HVA-1133	21	14	12
HVA-1136	53	42	44
HVA-1139	227	233	128
HVA-1140	17	45	25
HVA-1141	42	42	33
HVA-1142	124	85	87
HVA-1145	53	51	53
HVA-1146	130	98	87
HVA-1147	5	2	2
HVA-1148	0	0	1
HVA-1150	39	29	62
HVA-1152	105	132	115
HVA-1153	98	92	88
HVA-1154	55	80	82
HVA-1156	248	318	266
HVA-1157	95	69	70
HVA-1158	135	89	71
HVA-1159	152	158	139
HVA-1160	35	89	51
HVA-1161	67	64	65
HVA-1164	88	78	57
HVA-1165	481	344	232
HVA-1167	146	100	96
HVA-1168	43	64	60
HVA-1169	71	57	56
HVA-1172	65	76	49
HVA-1174	97	69	62
HVA-1175	184	125	107
HVA-1177	67	63	49
HVA-1178	73	57	59
HVA-1180	252	398	296
HVA-1181	75	117	63
HVA-1182	207	163	136
HVA-1183	324	316	158
HVA-1184	116	81	70
HVA-1185	117	108	89
HVA-1186	110	92	72
HVA-1189	206	172	132
HVA-1190	170	152	101
