Head	CymD.D.LB	CymD.D.LRP	CymD.D.MRP
TIGR01054	0	0	0
TIGR02717	7	4	3
TIGR00016	7	3	2
TIGR00651	172	146	106
TIGR02188	325	304	219
PF09242	0	0	0
sulfide_quinone_oxidoreductase_sqr	8	8	9
PF08679	0	0	0
TIGR02064	7	10	11
TIGR02066	7	10	11
PF07682	0	0	0
sulfur_dioxygenase_sdo	338	344	266
TIGR04486	22	33	23
TIGR04488	24	40	27
TIGR04555	81	102	70
TIGR02910	0	0	0
TIGR02911	0	0	0
TIGR02912	0	0	0
TIGR02061	154	180	128
TIGR00339	223	239	178
TIGR00455	138	135	113
TIGR02034	20	17	16
thiosulfate_reductase_phsA	0	0	0
fefe-group-a13	0	0	0
fefe-group-a2	0	0	0
fefe-group-a4	0	0	0
fefe-group-b	0	0	0
fefe-group-c1	0	0	0
fefe-group-c2	0	0	0
fefe-group-c3	0	0	0
fe	0	0	0
nife-group-1	14	13	12
nife-group-2ade	0	0	0
nife-group-2bc	6	3	2
nife-group-3abd	0	0	0
nife-group-3c	0	0	0
nife-group-4a-g	0	0	0
nife-group-4hi	0	0	0
TIGR03080	0	0	0
TIGR03079	0	0	0
TIGR03078	0	0	0
PF02406	22	28	16
TIGR04550	0	0	0
TIGR03256	0	0	0
TIGR03257	0	0	0
TIGR03259	0	0	0
TIGR01861	0	0	0
TIGR02931	0	0	0
TIGR02929	0	0	0
TIGR01282	0	0	0
TIGR01286	0	0	0
TIGR01860	0	0	0
TIGR02932	0	0	0
TIGR02930	0	0	0
TIGR01287	0	0	0
nitrite_oxidoreductase_nxrA	0	0	0
nitrite_oxidoreductase_nxrB	0	0	0
TIGR01706	0	0	0
PF03892	7	10	10
TIGR01580	1	1	1
TIGR01660	1	1	1
TIGR03153	0	0	0
PF02335	11	14	14
TIGR03152	0	0	0
TIGR03148	0	0	0
TIGR02374	13	13	13
TIGR02378	26	21	21
TIGR02376	0	0	0
nitrite_reductase_nirS	0	0	0
nitric_oxide_reductase_norB	6	3	2
nitric_oxide_reductase_norC	33	23	21
PF05048	0	0	0
TIGR04247	0	0	0
TIGR04246	0	0	0
hydrazine_oxidase_hzoA	0	0	0
hydrazine_synthase_hzsA	0	0	0
TIGR04315	0	0	0
TIGR02891	289	311	231
TIGR02866	272	268	202
TIGR00780	32	27	25
TIGR00781	19	21	21
TIGR00782	110	105	79
TIGR01433	6	3	2
TIGR02847	6	3	2
TIGR01473	400	389	293
PF01654	23	18	12
TIGR00203	6	3	2
TIGR01432	0	0	0
TIGR02882	0	0	0
methanol_dehydrogenase_pqq_xoxF_mxaF	251	231	178
TIGR04266	0	0	0
TIGR02659	8	5	3
TIGR02658	2	2	1
TIGR02819	0	0	0
TIGR02821	11	11	8
TIGR02818	34	39	29
TIGR03451	100	106	74
TIGR03126	18	9	6
TIGR03119	6	3	2
TIGR03120	6	3	2
TIGR01591	122	145	114
TIGR01582	27	30	24
TIGR01583	47	66	43
carbon_monoxide_dehydrogenase_coxS	1134	1192	875
carbon_monoxide_dehydrogenase_coxM	913	905	673
TIGR02416	1507	1639	1141
rubisco_form_I	7	10	10
rubisco_form_II	0	0	0
rubisco_form_II_III	0	0	0
rubisco_form_III	0	0	0
rubisco_form_IV	0	0	0
TIGR00381	0	0	0
TIGR00316	0	0	0
TIGR01702	0	0	0
acetate_citrate_lyase_aclA	0	0	0
acetate_citrate_lyase_aclB	0	0	0
TIGR01792	68	65	52
TIGR00192	81	74	61
TIGR00193	81	74	61
TIGR01428	798	850	617
TIGR02486	182	214	169
TIGR03479	41	33	27
TIGR03478	21	16	14
PF06778	208	205	153
TIGR02694	0	0	0
TIGR02693	0	0	0
TIGR00014	99	102	78
TIGR02691	40	29	23
TIGR02689	0	0	0
TIGR03312	0	0	0
TIGR03313	12	11	12
TIGR03315	48	34	23
TIGR01323	236	259	190
TIGR03888	57	66	57
TIGR03507	0	0	0
TIGR03509	0	0	0
assA	0	0	0
masD	0	0	0
lactate_dehydrogenase	73	108	67
phosphate_acetyltransferase	59	74	56
acetate_kinase	12	6	4
acetyl-CoA_synthetase	351	368	270
aldehyde_dehydrogenase	2047	2173	1642
alcohol_dehydrogenase	2059	2163	1574
KEGG.B01	20	31	19
KEGG.B02	0	0	0
KEGG.B03	0	0	0
KEGG.B04	0	0	0
KEGG.B05	0	0	0
KEGG.B06	1	1	1
KEGG.B07	98	107	84
KEGG.B08	161	142	104
KEGG.B09	0	0	0
KEGG.B10	0	0	0
KEGG.B11	0	0	0
KEGG.B12	0	0	0
KEGG.B13	0	0	0
KEGG.B14	151	158	113
KEGG.B15	0	0	0
KEGG.B16	0	0	0
KEGG.B17	197	222	166
KEGG.B18	0	0	0
KEGG.B19	0	0	0
KEGG.B20	578	540	415
KEGG.B21	0	0	0
KEGG.B22	486	481	351
KEGG.B23	71	63	54
KEGG.C01	448	407	332
KEGG.C02	15	10	7
KEGG.C03	0	0	0
GH1	17	16	15
GH10	0	0	0
GH100	48	34	23
GH102	24	42	24
GH103	129	134	110
GH104	0	0	0
GH105	99	91	68
GH106	0	0	0
GH108	0	0	0
GH109	2847	2739	2102
GH110	0	0	0
GH113	4	4	4
GH114	71	67	49
GH116	4	3	3
GH117	18	13	13
GH12	24	17	15
GH120	0	0	0
GH122	0	0	0
GH123	1	0	0
GH125	2	2	2
GH127	6	5	8
GH128	0	0	0
GH129	0	0	0
GH13	35	27	23
GH130	14	19	15
GH133	12	9	9
GH134	0	0	0
GH135	0	0	0
GH136	10	9	9
GH137	1	1	1
GH139	1	0	0
GH13_10	0	0	0
GH13_11	83	71	56
GH13_13	0	0	0
GH13_16	0	0	0
GH13_18	6	3	2
GH13_19	0	0	0
GH13_20	2	1	1
GH13_23	36	25	17
GH13_24	0	0	0
GH13_26	0	0	0
GH13_3	0	0	0
GH13_31	0	0	0
GH13_36	0	0	0
GH13_4	6	3	2
GH13_6	0	0	0
GH13_7	0	0	0
GH13_9	113	85	64
GH14	0	0	0
GH140	15	10	10
GH141	1	0	0
GH142	22	17	16
GH144	0	0	0
GH145	1	1	1
GH146	5	8	8
GH148	0	0	0
GH149	0	0	0
GH15	110	107	76
GH151	60	50	39
GH153	0	0	0
GH16	59	48	41
GH17	2	5	2
GH18	55	41	37
GH19	0	0	0
GH2	72	64	55
GH20	29	24	18
GH23	582	597	447
GH24	0	0	0
GH25	0	0	0
GH26	0	0	0
GH28	39	35	28
GH29	34	26	22
GH3	274	246	202
GH30	0	0	0
GH31	0	0	0
GH32	21	18	16
GH33	322	245	223
GH36	0	0	0
GH37	0	0	0
GH38	0	0	0
GH39	0	0	0
GH4	60	47	45
GH42	3	3	2
GH43	19	17	11
GH43_10	0	0	0
GH43_12	0	0	0
GH43_18	0	0	0
GH43_2	0	0	0
GH43_23	0	0	0
GH43_30	0	0	0
GH43_33	0	0	0
GH43_34	0	0	0
GH43_5	5	8	8
GH43_9	0	0	0
GH44	0	0	0
GH46	0	0	0
GH49	0	0	0
GH5	1	0	0
GH50	20	18	18
GH51	0	0	0
GH53	0	0	0
GH56	7	6	6
GH57	15	17	13
GH59	0	0	0
GH5_13	0	0	0
GH5_19	0	0	0
GH5_21	0	0	0
GH5_22	0	0	0
GH5_25	0	0	0
GH5_28	0	0	0
GH5_34	0	0	0
GH5_36	0	0	0
GH5_46	32	24	20
GH5_48	0	0	0
GH5_5	1	0	0
GH5_7	23	16	14
GH62	0	0	0
GH63	60	50	43
GH65	0	0	0
GH66	0	0	0
GH67	11	11	8
GH68	0	0	0
GH73	41	61	39
GH74	2861	2815	2113
GH75	0	0	0
GH76	186	168	117
GH77	24	23	20
GH78	53	41	34
GH8	1	0	0
GH80	0	0	0
GH81	0	0	0
GH82	0	0	0
GH84	35	25	23
GH87	0	0	0
GH88	17	12	12
GH89	0	0	0
GH9	0	0	0
GH91	0	0	0
GH92	0	0	0
GH93	8	6	12
GH94	0	0	0
GH95	8	5	5
GH97	0	0	0
GH98	0	0	0
GH99	12	16	15
A08	292	296	228
A22B	37	25	23
A24A	145	117	91
A24B	0	0	0
A24X	0	0	0
A28B	0	0	0
A31	7	3	2
A32	12	6	4
C01A	25	32	27
C01B	208	189	144
C01X	0	0	0
C110	13	9	7
C13	0	0	0
C14B	22	34	18
C25	0	0	0
C26	2447	2365	1845
C39	0	0	0
C40	24	36	23
C44	654	666	501
C45	2	2	2
C51	0	0	0
C56	47	40	36
C59	0	0	0
C60A	0	0	0
C69	14	22	12
C82A	81	74	64
C82B	0	0	0
C93	6	3	2
C97	0	0	0
I01	0	0	0
I02	12	8	7
I11	0	0	0
I13	0	0	0
I39	144	113	87
I42	0	0	0
I51	88	69	63
I75	0	0	0
I78	0	0	0
I87	635	629	487
M01	279	279	222
M02	5	6	6
M03A	69	69	59
M03B	104	108	84
M03X	0	0	0
M04	0	0	0
M06	0	0	0
M09B	0	0	0
M10A	6	3	2
M10B	0	0	0
M10X	0	0	0
M12A	0	0	0
M12B	0	0	0
M13	0	0	0
M14A	49	46	39
M14B	105	88	68
M14C	0	0	0
M15B	1	1	1
M15C	0	0	0
M15D	36	29	26
M16A	0	0	0
M16B	106	140	101
M16C	0	0	0
M17	214	203	161
M18	33	29	24
M19	130	129	101
M20A	575	648	489
M20B	0	0	0
M20C	47	30	26
M20D	271	222	176
M20F	74	66	45
M20X	172	177	147
M23A	0	0	0
M23B	384	389	269
M24A	380	354	279
M24B	612	555	417
M28A	0	0	0
M28B	27	28	23
M28D	162	147	121
M28E	0	0	0
M28F	126	113	96
M28X	0	0	0
M29	64	44	31
M30	39	26	24
M32	73	78	56
M36	0	0	0
M38	325	314	250
M41	390	387	300
M42	55	45	39
M43B	9	7	7
M48A	61	53	51
M48B	53	41	39
M48C	43	42	30
M48X	0	0	0
M49	30	34	28
M50A	0	0	0
M50B	111	135	106
M50X	0	0	0
M54	0	0	0
M55	30	25	19
M56	0	0	0
M57	0	0	0
M60	0	0	0
M61	0	0	0
M64	9	12	12
M66	17	15	10
M67A	13	12	12
M67B	66	62	53
M67C	0	0	0
M72	0	0	0
M75	2	5	3
M78	0	0	0
M79	42	48	43
M81	91	96	79
M82	94	67	47
M90	21	13	12
M97	26	28	22
M98	0	0	0
N06	113	90	58
N09	0	0	0
N10	0	0	0
N11	0	0	0
P01	157	164	119
S01A	0	0	0
S01B	62	66	39
S01C	268	297	231
S01D	0	0	0
S01E	0	0	0
S08A	164	131	110
S08B	27	18	17
S09A	259	233	189
S09B	97	89	74
S09C	658	683	504
S09D	61	55	48
S09X	890	917	673
S10	21	16	14
S11	88	98	59
S12	501	485	402
S13	78	57	44
S14	495	447	344
S15	101	77	66
S16	624	590	436
S24	404	448	338
S26A	248	238	187
S26B	0	0	0
S26C	0	0	0
S33	1272	1372	1022
S41A	234	246	184
S41B	66	50	34
S45	80	87	59
S46	22	23	18
S49A	0	0	0
S49B	67	75	57
S49C	130	139	97
S49X	0	0	0
S51	108	85	67
S54	253	292	233
S55	6	8	8
S66	23	16	14
S77	0	0	0
S78	0	0	0
T01A	71	52	50
T01B	200	199	144
T01X	15	9	8
T02	299	240	190
T03	1141	1203	914
T05	216	233	183
U32	261	210	170
U56	0	0	0
U62	712	715	529
U69	18	11	9
U72	27	25	26
U73	6	3	2
