Head	CymD.C.HB	CymD.C.HRP	CymD.C.LB	CymD.C.LRP	CymD.C.MRP
PF01654	71	130	33	139	114
PF02335	45	48	3	60	52
PF02406	94	74	27	200	123
PF03892	47	1345	40	228	119
PF05048	0	0	0	0	0
PF06778	995	1237	182	1378	955
PF07682	0	0	0	0	0
PF08679	0	0	0	0	0
PF09242	0	0	0	0	0
TIGR00014	267	525	108	517	440
TIGR00016	26	30	25	96	79
TIGR00192	266	498	84	453	467
TIGR00193	266	498	84	453	467
TIGR00203	24	41	27	84	80
TIGR00316	0	0	0	0	0
TIGR00339	1085	2621	232	1799	1164
TIGR00381	0	0	0	0	0
TIGR00455	303	455	78	581	494
TIGR00651	159	180	28	256	193
TIGR00780	76	1490	92	320	201
TIGR00781	76	1490	92	320	201
TIGR00782	215	1677	111	521	344
TIGR01054	0	0	0	0	0
TIGR01282	0	0	0	0	0
TIGR01286	0	0	0	0	0
TIGR01287	0	0	0	0	0
TIGR01323	1183	1443	220	1707	1151
TIGR01428	1381	1746	281	2057	1455
TIGR01432	0	0	0	0	0
TIGR01433	23	26	22	82	63
TIGR01473	1184	1644	291	1838	1242
TIGR01580	1	1	0	4	5
TIGR01582	91	141	9	124	90
TIGR01583	185	200	21	297	182
TIGR01591	803	1005	155	1253	1012
TIGR01660	1	1	0	4	5
TIGR01702	0	0	0	0	0
TIGR01706	0	0	0	0	0
TIGR01792	256	478	79	444	459
TIGR01860	0	0	0	0	0
TIGR01861	0	0	0	0	0
TIGR02034	31	42	23	97	78
TIGR02061	886	2355	200	1515	973
TIGR02064	47	1381	44	231	121
TIGR02066	47	1381	44	231	121
TIGR02188	801	1413	314	1261	850
TIGR02374	71	1408	66	313	184
TIGR02376	0	0	0	0	0
TIGR02378	81	1428	72	323	192
TIGR02416	1359	1744	272	2049	1443
TIGR02486	740	911	129	1114	775
TIGR02512	0	0	0	0	0
TIGR02658	1	5	0	8	6
TIGR02659	24	31	22	91	69
TIGR02689	0	0	0	0	0
TIGR02691	45	54	37	163	144
TIGR02693	0	0	0	0	0
TIGR02694	0	0	0	0	0
TIGR02717	25	29	22	86	65
TIGR02818	156	245	32	260	211
TIGR02819	0	0	0	0	0
TIGR02821	34	42	6	56	38
TIGR02847	23	26	22	82	63
TIGR02866	1147	2853	357	1828	1270
TIGR02882	0	0	0	0	0
TIGR02891	1094	2736	344	1807	1171
TIGR02910	0	0	0	0	0
TIGR02911	0	0	0	0	0
TIGR02912	0	0	0	0	0
TIGR02929	0	0	0	0	0
TIGR02930	0	0	0	0	0
TIGR02931	0	0	0	0	0
TIGR02932	0	0	0	0	0
TIGR03078	0	0	0	0	0
TIGR03079	0	0	0	0	0
TIGR03080	0	0	0	0	0
TIGR03119	23	26	22	82	63
TIGR03120	23	26	22	82	63
TIGR03126	23	26	22	82	63
TIGR03148	0	0	0	0	0
TIGR03152	0	0	0	0	0
TIGR03153	0	0	0	0	0
TIGR03256	0	0	0	0	0
TIGR03257	0	0	0	0	0
TIGR03259	0	0	0	0	0
TIGR03312	0	0	0	0	0
TIGR03313	5	8	1	7	8
TIGR03315	18	12	9	42	53
TIGR03451	789	899	136	1099	736
TIGR03478	4	3	2	7	6
TIGR03479	4	3	2	7	6
TIGR03507	0	0	0	0	0
TIGR03509	0	0	0	0	0
TIGR03888	559	625	94	843	641
TIGR04105	0	0	0	0	0
TIGR04246	0	0	0	0	0
TIGR04247	0	0	0	0	0
TIGR04266	0	0	0	0	0
TIGR04315	0	0	0	0	0
TIGR04486	116	1436	54	342	192
TIGR04488	132	1207	50	366	213
TIGR04550	0	0	0	0	0
TIGR04555	229	330	75	410	288
acetate_citrate_lyase_aclA	0	0	0	0	0
acetate_citrate_lyase_aclB	0	0	0	0	0
carbon_monoxide_dehydrogenase_coxM	1233	1596	334	1842	1347
carbon_monoxide_dehydrogenase_coxS	1322	1681	359	2024	1508
fe	0	0	0	0	0
fefe-group-a13	0	0	0	0	0
fefe-group-a2	0	0	0	0	0
fefe-group-a4	0	0	0	0	0
fefe-group-b	0	0	0	0	0
fefe-group-c1	0	0	0	0	0
fefe-group-c2	0	0	0	0	0
fefe-group-c3	0	0	0	0	0
hydrazine_oxidase_hzoA	0	0	0	0	0
hydrazine_synthase_hzsA	0	0	0	0	0
methanol_dehydrogenase_pqq_xoxF_mxaF	188	247	49	318	216
nife-group-1	76	1454	88	317	199
nife-group-2ade	0	0	0	0	0
nife-group-2bc	23	26	22	82	63
nife-group-3abd	0	0	0	0	0
nife-group-3c	0	0	0	0	0
nife-group-4a-g	0	0	0	0	0
nife-group-4hi	0	0	0	0	0
nitric_oxide_reductase_norB	23	26	22	82	63
nitric_oxide_reductase_norC	28	26	13	80	87
nitrite_oxidoreductase_nxrA	0	0	0	0	0
nitrite_oxidoreductase_nxrB	0	0	0	0	0
nitrite_reductase_nirS	0	0	0	0	0
rubisco_form_I	47	1345	40	228	119
rubisco_form_II	0	0	0	0	0
rubisco_form_III	0	0	0	0	0
rubisco_form_II_III	0	0	0	0	0
rubisco_form_IV	0	0	0	0	0
sulfide_quinone_oxidoreductase_sqr	11	276	16	31	33
sulfur_dioxygenase_sdo	684	998	147	1141	858
thiosulfate_reductase_phsA	1	14	5	1	17
assA	0	0	0	0	0
masD	0	0	0	0	0
lactate_dehydrogenase	217	248	52	400	298
