Head	CymS.C.B	CymS.C.HRP.1	CymS.C.HRP.2	CymS.C.LRP.1	CymS.C.LRP.2	CymS.C.NBB.1	CymS.C.NBB.2
HVA-1089	344	970	819	353	269	78	56
HVA-1091	1627	3129	2082	397	781	209	101
HVA-1093	2587	4185	2816	12731	897	282	89
HVA-1094	4839	1471	1302	2693	392	124	4
HVA-1095	338	853	796	98	374	35	95
HVA-1096	244	503	455	941	181	119	50
HVA-1097	609	536	538	460	163	109	18
HVA-1099	673	1054	751	1217	285	53	25
HVA-1100	2075	1994	1485	3116	596	141	111
HVA-1102	1578	829	1934	236	1975	788	1988
HVA-1103	69303	38739	91067	1676	122265	45253	97883
HVA-1104	5668	11362	6798	5539	1943	574	209
HVA-1105	731	611	527	213	232	33	31
HVA-1116	176	477	494	653	121	129	36
HVA-1117	718	1529	1412	1896	492	278	91
HVA-1119	607	836	607	4329	154	304	28
HVA-1120	203	7003	55470	69780	2427	732	251
HVA-1123	841	1132	950	5491	365	238	69
HVA-1124	386	18645	9271	1504	4781	90	60
HVA-1125	4747	4199	6238	2203	2159	663	1243
HVA-1128	2083	2037	1308	3072	274	64	34
HVA-1129	2079	1541	2023	1301	1462	660	1229
HVA-1130	127	1990	10746	7590	1385	282	174
HVA-1132	714	631	446	2246	174	147	22
HVA-1133	664	506	665	179	209	90	10
HVA-1136	1364	991	696	3051	228	51	33
HVA-1139	1772	1592	908	12655	437	214	56
HVA-1140	326	880	695	1040	449	73	28
HVA-1141	1039	2889	1683	1981	793	369	98
HVA-1142	1214	993	865	1737	372	135	65
HVA-1145	233	125	101	1111	55	57	10
HVA-1146	1631	1368	2475	2180	1185	365	674
HVA-1147	3848	62596	304043	44911	12550	5790	5717
HVA-1148	9059	2894	6598	2214	19770	3698	8367
HVA-1150	413	1242	1156	204	909	210	550
HVA-1152	700	1415	1144	7625	576	140	32
HVA-1153	2231	3361	2273	13806	794	236	69
HVA-1154	204	7900	17015	140267	2230	225	174
HVA-1156	3779	6140	3419	25607	1362	573	215
HVA-1157	231	176	212	789	143	17	28
HVA-1158	635	1381	1175	646	644	235	165
HVA-1159	1320	11571	4503	10432	4297	299	113
HVA-1160	155	427	415	812	186	80	39
HVA-1161	238	120	139	1172	57	68	11
HVA-1164	590	513	686	928	583	206	492
HVA-1165	12543	11671	20910	7306	4957	1049	1699
HVA-1167	18071	6917	4317	5279	904	1494	13
HVA-1168	2363	1063	1362	4532	5078	32912	20656
HVA-1169	50	56	35	687	73	13	5
HVA-1172	1570	1677	1222	6103	346	142	50
HVA-1174	551	203	325	901	190	49	10
HVA-1175	531	635	624	4612	129	90	26
HVA-1177	726	1114	1091	2512	388	74	20
HVA-1178	1104	753	544	3430	201	86	18
HVA-1180	419532	99858	357340	22046	525320	213198	508796
HVA-1181	692	1491	1387	1763	522	250	74
HVA-1182	1333	641	1535	364	1397	523	1278
HVA-1183	2189	1931	1122	15265	482	241	71
HVA-1184	2011	1896	1521	2919	527	177	156
HVA-1185	10383	10651	6782	10822	1987	532	193
HVA-1186	346	557	687	642	313	54	112
HVA-1189	10461	8700	5723	15507	1679	711	190
HVA-1190	789	420	420	6900	190	123	18
