Head	CymS.D.B	CymS.D.HRP.1	CymS.D.LRP.1
HVA-1089	23	26	28
HVA-1091	27	29	31
HVA-1093	63	58	68
HVA-1094	41	24	32
HVA-1095	29	35	35
HVA-1096	19	22	31
HVA-1097	36	37	27
HVA-1099	36	36	40
HVA-1100	90	69	77
HVA-1102	79	65	71
HVA-1103	77	107	115
HVA-1104	107	144	140
HVA-1105	44	40	36
HVA-1116	21	26	30
HVA-1117	65	61	74
HVA-1119	51	32	39
HVA-1120	5	130	74
HVA-1123	42	44	55
HVA-1124	45	157	177
HVA-1125	378	273	278
HVA-1128	25	23	24
HVA-1129	103	71	82
HVA-1130	6	35	57
HVA-1132	28	21	24
HVA-1133	110	93	75
HVA-1136	53	36	39
HVA-1139	35	18	38
HVA-1140	22	29	36
HVA-1141	64	60	63
HVA-1142	99	80	89
HVA-1145	32	21	30
HVA-1146	47	38	45
HVA-1147	2	225	58
HVA-1148	0	0	108
HVA-1150	26	22	26
HVA-1152	64	55	75
HVA-1153	45	38	47
HVA-1154	28	41	34
HVA-1156	69	58	91
HVA-1157	18	11	16
HVA-1158	64	52	58
HVA-1159	119	146	161
HVA-1160	16	19	28
HVA-1161	29	19	28
HVA-1164	23	18	25
HVA-1165	432	306	326
HVA-1167	39	19	32
HVA-1168	34	34	43
HVA-1169	2	1	2
HVA-1172	20	15	23
HVA-1174	25	11	15
HVA-1175	38	21	31
HVA-1177	53	42	49
HVA-1178	38	24	29
HVA-1180	195	277	298
HVA-1181	58	54	68
HVA-1182	101	85	99
HVA-1183	55	31	54
HVA-1184	72	53	61
HVA-1185	151	132	143
HVA-1186	47	32	38
HVA-1189	189	143	163
HVA-1190	64	45	60
