Head	CymS.D.B	CymS.D.HRP.1	CymS.D.LRP.1
TIGR01054	0	0	0
TIGR02717	9	20	21
TIGR00016	7	19	21
TIGR00651	116	85	97
TIGR02188	185	208	224
PF09242	0	0	0
sulfide_quinone_oxidoreductase_sqr	4	18	48
PF08679	0	0	0
TIGR02064	4	21	16
TIGR02066	4	21	16
PF07682	0	0	0
sulfur_dioxygenase_sdo	248	241	270
TIGR04486	16	32	41
TIGR04488	18	20	44
TIGR04555	52	83	91
TIGR02910	0	0	0
TIGR02911	0	0	0
TIGR02912	0	0	0
TIGR02061	90	97	111
TIGR00339	134	137	156
TIGR00455	84	88	106
TIGR02034	13	22	27
thiosulfate_reductase_phsA	0	0	11
fefe-group-a13	0	0	0
fefe-group-a2	0	0	0
fefe-group-a4	0	0	0
fefe-group-b	0	0	0
fefe-group-c1	0	0	0
fefe-group-c2	0	0	0
fefe-group-c3	0	0	0
fe	0	0	0
nife-group-1	8	55	34
nife-group-2ade	0	0	0
nife-group-2bc	4	16	18
nife-group-3abd	0	0	0
nife-group-3c	0	0	0
nife-group-4a-g	0	0	0
nife-group-4hi	0	0	0
TIGR03080	0	0	0
TIGR03079	0	0	0
TIGR03078	0	0	0
PF02406	19	30	35
TIGR04550	0	0	0
TIGR03256	0	0	0
TIGR03257	0	0	0
TIGR03259	0	0	0
TIGR01861	0	0	0
TIGR02931	0	0	0
TIGR02929	0	0	0
TIGR01282	0	0	0
TIGR01286	0	0	0
TIGR01860	0	0	0
TIGR02932	0	0	0
TIGR02930	0	0	0
TIGR01287	0	0	0
nitrite_oxidoreductase_nxrA	0	0	0
nitrite_oxidoreductase_nxrB	0	0	0
TIGR01706	0	0	0
PF03892	3	17	11
TIGR01580	3	3	3
TIGR01660	3	3	3
TIGR03153	0	0	0
PF02335	11	12	13
TIGR03152	0	0	0
TIGR03148	0	0	0
TIGR02374	8	36	34
TIGR02378	18	44	43
TIGR02376	0	0	0
nitrite_reductase_nirS	0	0	0
nitric_oxide_reductase_norB	4	16	18
nitric_oxide_reductase_norC	18	13	16
PF05048	0	0	0
TIGR04247	0	0	0
TIGR04246	0	0	0
hydrazine_oxidase_hzoA	0	0	0
hydrazine_synthase_hzsA	0	0	0
TIGR04315	0	0	0
TIGR02891	156	175	183
TIGR02866	164	182	183
TIGR00780	20	94	79
TIGR00781	11	63	43
TIGR00782	65	119	112
TIGR01433	4	16	18
TIGR02847	4	16	18
TIGR01473	235	250	264
PF01654	11	20	34
TIGR00203	4	16	29
TIGR01432	0	0	0
TIGR02882	0	0	0
methanol_dehydrogenase_pqq_xoxF_mxaF	157	194	228
TIGR04266	0	0	0
TIGR02659	8	19	22
TIGR02658	4	4	4
TIGR02819	0	0	0
TIGR02821	12	10	11
TIGR02818	34	34	38
TIGR03451	37	35	44
TIGR03126	13	47	53
TIGR03119	4	16	18
TIGR03120	4	16	18
TIGR01591	92	104	121
TIGR01582	18	16	20
TIGR01583	34	32	40
carbon_monoxide_dehydrogenase_coxS	658	572	684
carbon_monoxide_dehydrogenase_coxM	590	506	589
TIGR02416	754	676	826
rubisco_form_I	3	17	11
rubisco_form_II	0	0	0
rubisco_form_II_III	0	0	0
rubisco_form_III	0	0	0
rubisco_form_IV	0	0	0
TIGR00381	0	0	0
TIGR00316	0	0	0
TIGR01702	0	0	0
acetate_citrate_lyase_aclA	0	0	0
acetate_citrate_lyase_aclB	0	0	0
TIGR01792	62	100	112
TIGR00192	74	110	124
TIGR00193	74	110	124
TIGR01428	555	512	591
TIGR02486	95	100	121
TIGR03479	20	17	20
TIGR03478	10	9	10
PF06778	119	99	120
TIGR02694	0	0	0
TIGR02693	0	0	0
TIGR00014	74	109	119
TIGR02691	21	28	32
TIGR02689	0	0	0
TIGR03312	0	0	0
TIGR03313	6	4	6
TIGR03315	43	31	33
TIGR01323	152	140	165
TIGR03888	49	55	61
TIGR03507	0	0	0
TIGR03509	0	0	0
MtrB_TIGR03509	0	0	0
Cyc1	65	107	105
Cyc2_repCluster1	0	0	0
Cyc2_repCluster2	0	0	0
Cyc2_repCluster3	0	0	0
FoxA	0	0	0
FoxB	0	0	0
FoxC	0	0	0
FoxE	0	0	0
FoxY	18	20	23
FoxZ	102	80	87
MtoA	0	0	0
Sulfocyanin	0	0	0
Manganese_oxidase_K06324	0	0	0
Manganese_oxidase_K22348	13	15	19
Manganese_oxidase_K22349	10	8	13
Manganese_oxidase_K22350	0	0	0
assA	0	0	0
masD	0	0	0
lactate_dehydrogenase	65	75	90
phosphate_acetyltransferase	42	49	53
acetate_kinase	9	31	35
acetyl-CoA_synthetase	231	260	286
aldehyde_dehydrogenase	1482	1724	1895
alcohol_dehydrogenase	1446	1650	1844
KEGG.B01	19	19	23
KEGG.B02	0	0	0
KEGG.B03	0	0	0
KEGG.B04	0	0	0
KEGG.B05	0	0	0
KEGG.B06	3	3	3
KEGG.B07	65	61	72
KEGG.B08	64	50	64
KEGG.B09	0	0	0
KEGG.B10	0	0	0
KEGG.B11	0	0	0
KEGG.B12	0	0	0
KEGG.B13	0	0	0
KEGG.B14	79	72	87
KEGG.B15	0	0	0
KEGG.B16	0	0	0
KEGG.B17	88	76	96
KEGG.B18	0	0	0
KEGG.B19	0	0	0
KEGG.B20	415	426	442
KEGG.B21	0	0	0
KEGG.B22	314	330	365
KEGG.B23	42	38	44
KEGG.C01	365	310	350
KEGG.C02	16	39	44
KEGG.C03	0	0	0
GH1	12	11	11
GH10	0	0	0
GH100	43	31	33
GH102	20	43	32
GH103	82	144	143
GH104	0	0	0
GH105	74	64	72
GH106	0	0	0
GH108	0	0	0
GH109	2095	1877	2128
GH110	0	0	0
GH113	13	17	17
GH114	26	18	24
GH116	6	4	5
GH117	21	18	20
GH12	19	16	17
GH120	0	0	0
GH122	0	0	0
GH123	3	3	3
GH125	3	2	2
GH127	5	4	5
GH128	0	0	0
GH129	0	0	0
GH13	20	16	19
GH130	17	17	20
GH133	10	8	9
GH134	0	0	0
GH135	0	0	0
GH136	4	4	5
GH137	5	6	6
GH139	3	3	3
GH13_10	0	0	0
GH13_11	61	47	54
GH13_13	0	0	0
GH13_16	0	0	0
GH13_18	4	16	18
GH13_19	0	0	0
GH13_20	4	4	3
GH13_23	38	27	28
GH13_24	0	0	0
GH13_26	0	0	0
GH13_3	0	0	0
GH13_31	0	0	0
GH13_36	0	0	0
GH13_4	4	16	18
GH13_6	0	0	0
GH13_7	0	0	0
GH13_9	107	93	100
GH14	0	0	0
GH140	13	12	12
GH141	3	3	3
GH142	6	5	6
GH144	0	0	0
GH145	5	6	6
GH146	3	4	3
GH148	0	0	0
GH149	0	0	0
GH15	46	35	45
GH151	26	18	22
GH153	0	0	0
GH16	33	28	32
GH17	2	3	4
GH18	28	20	24
GH19	0	0	0
GH2	47	39	47
GH20	18	14	16
GH23	477	594	620
GH24	0	0	0
GH25	0	0	0
GH26	0	0	0
GH28	44	37	40
GH29	19	15	18
GH3	161	176	203
GH30	0	0	0
GH31	0	0	0
GH32	35	34	36
GH33	233	192	206
GH36	0	0	0
GH37	0	0	0
GH38	0	0	0
GH39	0	0	0
GH4	52	43	49
GH42	8	8	8
GH43	10	8	10
GH43_10	0	0	0
GH43_12	0	0	0
GH43_18	0	0	0
GH43_2	0	0	0
GH43_23	0	0	0
GH43_30	0	0	0
GH43_33	0	0	0
GH43_34	0	0	0
GH43_5	3	4	3
GH43_9	0	0	0
GH44	0	0	0
GH46	0	0	0
GH49	0	0	0
GH5	3	3	3
GH50	9	8	9
GH51	0	0	0
GH53	0	0	0
GH56	0	0	0
GH57	12	26	29
GH59	0	0	0
GH5_13	0	0	0
GH5_19	0	0	0
GH5_21	0	0	0
GH5_22	0	0	0
GH5_25	0	0	0
GH5_28	0	0	0
GH5_34	0	0	0
GH5_36	0	0	0
GH5_46	19	14	16
GH5_48	0	0	0
GH5_5	3	3	3
GH5_7	16	12	14
