Head	CymS.C.B	CymS.C.HRP.1	CymS.C.HRP.2	CymS.C.LRP.1	CymS.C.LRP.2	CymS.C.NBB.1	CymS.C.NBB.2
PF01654	29	452	241	151	195	13	5
PF02335	16	17	17	70	7	5	0
PF02406	28	486	275	76	149	6	5
PF03892	2	144	802	3602	32	5	2
PF05048	0	0	0	0	0	0	0
PF06778	421	582	385	1533	118	47	12
PF07682	0	0	0	0	0	0	0
PF08679	0	0	0	0	0	0	0
PF09242	0	0	0	0	0	0	0
TIGR00014	134	1165	2162	851	345	64	33
TIGR00016	45	501	274	36	141	4	3
TIGR00192	141	773	423	647	234	28	11
TIGR00193	141	773	423	647	234	28	11
TIGR00203	11	441	233	38	192	10	5
TIGR00316	0	0	0	0	0	0	0
TIGR00339	393	819	1317	5205	210	62	25
TIGR00381	0	0	0	0	0	0	0
TIGR00455	150	765	443	581	242	31	11
TIGR00651	138	167	153	226	45	16	4
TIGR00780	29	1009	2782	3979	215	30	26
TIGR00781	29	1009	2782	3979	215	30	26
TIGR00782	92	1084	2844	4217	241	50	30
TIGR01054	0	0	0	0	0	0	0
TIGR01282	0	0	0	0	0	0	0
TIGR01286	0	0	0	0	0	0	0
TIGR01287	0	0	0	0	0	0	0
TIGR01323	457	774	487	1776	195	76	20
TIGR01428	645	986	685	2167	250	103	31
TIGR01432	0	0	0	0	0	0	0
TIGR01433	11	441	230	28	130	2	3
TIGR01473	558	1650	3055	2451	366	96	48
TIGR01580	5	11	12	0	3	0	0
TIGR01582	34	32	27	186	12	7	1
TIGR01583	57	85	79	245	31	12	3
TIGR01591	255	1001	585	1308	285	49	18
TIGR01660	5	11	12	0	3	0	0
TIGR01702	0	0	0	0	0	0	0
TIGR01706	0	0	0	0	0	0	0
TIGR01792	133	762	413	634	230	27	10
TIGR01860	0	0	0	0	0	0	0
TIGR01861	0	0	0	0	0	0	0
TIGR02034	18	447	239	46	134	4	3
TIGR02061	251	600	1155	4892	160	42	20
TIGR02064	4	163	899	3705	41	5	5
TIGR02066	4	163	899	3705	41	5	5
TIGR02188	554	1665	3032	2105	506	132	96
TIGR02374	15	604	1129	3732	171	8	8
TIGR02376	0	0	0	0	0	0	0
TIGR02378	23	615	1139	3745	175	8	10
TIGR02416	624	964	640	2178	245	92	24
TIGR02486	202	455	268	1160	118	43	13
TIGR02512	0	0	0	0	0	0	0
TIGR02658	4	8	5	6	3	0	0
TIGR02659	14	449	235	34	133	2	3
TIGR02689	0	0	0	0	0	0	0
TIGR02691	38	476	264	80	146	4	4
TIGR02693	0	0	0	0	0	0	0
TIGR02694	0	0	0	0	0	0	0
TIGR02717	16	447	235	29	132	3	3
TIGR02818	60	205	102	294	76	25	7
TIGR02819	0	0	0	0	0	0	0
TIGR02821	24	38	27	47	13	11	2
TIGR02847	11	441	230	28	130	2	3
TIGR02866	491	1306	3070	5679	332	117	96
TIGR02882	0	0	0	0	0	0	0
TIGR02891	388	1135	2943	5479	306	106	95
TIGR02910	0	0	0	0	0	0	0
TIGR02911	0	0	0	0	0	0	0
TIGR02912	0	0	0	0	0	0	0
TIGR02929	0	0	0	0	0	0	0
TIGR02930	0	0	0	0	0	0	0
TIGR02931	0	0	0	0	0	0	0
TIGR02932	0	0	0	0	0	0	0
TIGR03078	0	0	0	0	0	0	0
TIGR03079	0	0	0	0	0	0	0
TIGR03080	0	0	0	0	0	0	0
TIGR03119	11	441	230	28	130	2	3
TIGR03120	11	441	230	28	130	2	3
TIGR03126	11	441	230	28	130	2	3
TIGR03148	0	0	0	0	0	0	0
TIGR03152	0	0	0	0	0	0	0
TIGR03153	0	0	0	0	0	0	0
TIGR03256	0	0	0	0	0	0	0
TIGR03257	0	0	0	0	0	0	0
TIGR03259	0	0	0	0	0	0	0
TIGR03312	0	0	0	0	0	0	0
TIGR03313	7	2	3	11	0	1	0
TIGR03315	47	38	46	28	9	5	0
TIGR03451	208	376	241	1145	76	30	9
TIGR03478	2	2	2	3	1	2	0
TIGR03479	2	2	2	3	1	2	0
TIGR03507	0	0	0	0	0	0	0
TIGR03509	0	0	0	0	0	0	0
TIGR03888	166	426	246	808	111	43	12
TIGR04105	0	0	0	0	0	0	0
TIGR04246	0	0	0	0	0	0	0
TIGR04247	0	0	0	0	0	0	0
TIGR04266	0	0	0	0	0	0	0
TIGR04315	0	0	0	0	0	0	0
TIGR04486	21	205	941	3754	118	16	9
TIGR04488	26	127	233	3104	99	18	5
TIGR04550	0	0	0	0	0	0	0
TIGR04555	85	934	1970	533	268	46	26
acetate_citrate_lyase_aclA	0	0	0	0	0	0	0
acetate_citrate_lyase_aclB	0	0	0	0	0	0	0
carbon_monoxide_dehydrogenase_coxM	627	943	669	1980	299	110	76
carbon_monoxide_dehydrogenase_coxS	645	995	729	2118	327	115	86
fe	0	0	0	0	0	0	0
fefe-group-a13	0	0	0	0	0	0	0
fefe-group-a2	0	0	0	0	0	0	0
fefe-group-a4	0	0	0	0	0	0	0
fefe-group-b	0	0	0	0	0	0	0
fefe-group-c1	0	0	0	0	0	0	0
fefe-group-c2	0	0	0	0	0	0	0
fefe-group-c3	0	0	0	0	0	0	0
hydrazine_oxidase_hzoA	0	0	0	0	0	0	0
hydrazine_synthase_hzsA	0	0	0	0	0	0	0
methanol_dehydrogenase_pqq_xoxF_mxaF	128	549	318	300	161	24	6
nife-group-1	27	990	2686	3877	206	29	23
nife-group-2ade	0	0	0	0	0	0	0
nife-group-2bc	11	441	230	28	130	2	3
nife-group-3abd	0	0	0	0	0	0	0
nife-group-3c	0	0	0	0	0	0	0
nife-group-4a-g	0	0	0	0	0	0	0
nife-group-4hi	0	0	0	0	0	0	0
nitric_oxide_reductase_norB	11	441	230	28	130	2	3
nitric_oxide_reductase_norC	35	39	30	65	13	3	1
nitrite_oxidoreductase_nxrA	0	0	0	0	0	0	0
nitrite_oxidoreductase_nxrB	0	0	0	0	0	0	0
nitrite_reductase_nirS	0	0	0	0	0	0	0
rubisco_form_I	2	144	802	3602	32	5	2
rubisco_form_II	0	0	0	0	0	0	0
rubisco_form_III	0	0	0	0	0	0	0
rubisco_form_II_III	0	0	0	0	0	0	0
rubisco_form_IV	0	0	0	0	0	0	0
sulfide_quinone_oxidoreductase_sqr	8	98	721	694	89	13	6
sulfur_dioxygenase_sdo	210	522	1020	1662	159	51	25
thiosulfate_reductase_phsA	1	1	3	10	62	8	2
assA	0	0	0	0	0	0	0
masD	0	0	0	0	0	0	0
lactate_dehydrogenase	88	582	354	308	179	14	8
