Head	CymD.D.LB	CymD.D.LRP	CymD.D.MRP	CymS.D.B	CymS.D.HRP.1	CymS.D.LRP.1
TIGR01054	0	0	0	0	0	0
TIGR02717	6.96099393224017	3.64407220888683	2.74629372275046	8.85449973935194	19.7284825354105	21.2945040558364
TIGR00016	6.73644008732616	3.30181839793983	2.36697242796486	7.15316396348498	18.6429629414003	20.7811338295741
TIGR00651	172.161408555005	145.81228128307	106.140851780565	116.047775773994	85.2202395994959	97.047043753321
TIGR02188	325.327401981458	303.729046453432	218.919337463789	185.235954447303	208.207729721361	224.114389225763
PF09242	0	0	0	0	0	0
sulfide_quinone_oxidoreductase_sqr	8.42353468367374	8.46597574781861	9.11382475851172	4.11673842900443	18.4389493008932	48.3451773140146
PF08679	0	0	0	0	0	0
TIGR02064	7.18824059260072	9.99790368369661	10.5145877652462	3.91610051410559	20.6183310844125	16.4573975531754
TIGR02066	7.18824059260072	9.99790368369661	10.5145877652462	3.91610051410559	20.6183310844125	16.4573975531754
PF07682	0	0	0	0	0	0
sulfur_dioxygenase_sdo	107.705209708777	125.475831313022	85.9795216033444	86.3760765398447	97.6105095513082	103.655449009756
TIGR04486	21.5986200342337	32.5112238020151	22.6002617541259	16.2007309702865	32.2008699411873	41.4666910625991
TIGR04488	23.6388623318374	39.8852852234023	27.0068315896503	18.4851481984133	19.7194824269218	43.868791721626
TIGR04555	80.9742831937749	102.166500845849	70.4010149432085	52.0461649338585	83.124588033029	91.1313878420323
TIGR02910	0	0	0	0	0	0
TIGR02911	0	0	0	0	0	0
TIGR02912	0	0	0	0	0	0
TIGR02061	153.70243554002	179.682193142447	128.159848474511	90.2383466759255	96.8436144006269	110.653564065655
TIGR00339	223.441319447164	239.018684750213	178.021915931605	133.601995995377	137.253722888658	156.005566117719
TIGR00455	138.237075997615	135.039837334343	113.090765828277	83.7313195083534	88.1872572014242	105.781822085046
TIGR02034	19.9387070336201	17.3512617438377	16.0567256168924	12.7797408534864	22.3191925226351	26.6195352637454
thiosulfate_reductase_phsA	0.00960135670299534	0.0213533859851316	0.0912704971458093	0.00549323583552317	0.0306138608492854	10.7982121844327
fefe-group-a13	0	0	0	0	0	0
fefe-group-a2	0	0	0	0	0	0
fefe-group-a4	0	0	0	0	0	0
fefe-group-b	0	0	0	0	0	0
fefe-group-c1	0	0	0	0	0	0
fefe-group-c2	0	0	0	0	0	0
fefe-group-c3	0	0	0	0	0	0
fe	0	0	0	0	0	0
nife-group-1	13.6661949282304	12.8702411407202	12.4988184302995	8.01170567469589	55.3413978971897	34.2446118329546
nife-group-2ade	0	0	0	0	0	0
nife-group-2bc	6.14575312007778	2.88256572831406	2.01239317858465	4.48281388850639	15.7375360413513	17.721721850084
nife-group-3abd	0	0	0	0	0	0
nife-group-3c	0	0	0	0	0	0
nife-group-4a-g	0	0	0	0	0	0
nife-group-4hi	0	0	0	0	0	0
TIGR03080	0	0	0	0	0	0
TIGR03079	0	0	0	0	0	0
TIGR03078	0	0	0	0	0	0
PF02406	22.3683052579635	28.3676017871825	16.2465525924852	18.8955445214912	29.9213305880399	34.9445500471123
TIGR04550	0	0	0	0	0	0
TIGR03256	0	0	0	0	0	0
TIGR03257	0	0	0	0	0	0
TIGR03259	0	0	0	0	0	0
TIGR01861	0	0	0	0	0	0
TIGR02931	0	0	0	0	0	0
TIGR02929	0	0	0	0	0	0
TIGR01282	0	0	0	0	0	0
TIGR01286	0	0	0	0	0	0
TIGR01860	0	0	0	0	0	0
TIGR02932	0	0	0	0	0	0
TIGR02930	0	0	0	0	0	0
TIGR01287	0	0	0	0	0	0
nitrite_oxidoreductase_nxrA	0	0	0	0	0	0
nitrite_oxidoreductase_nxrB	0	0	0	0	0	0
TIGR01706	0	0	0	0	0	0
PF03892	7.0369032250018	9.78837102910267	10.3203104538773	3.30782579250632	17.1144508050941	10.7482004573167
TIGR01580	0.627772958629008	0.951902061090719	0.633589269506068	2.87057535756466	3.45593844745558	3.45549684085138
TIGR01660	0.627772958629008	0.951902061090719	0.633589269506068	2.87057535756466	3.45593844745558	3.45549684085138
TIGR03153	0	0	0	0	0	0
PF02335	10.916780459084	13.888089183501	13.5666882153696	11.2062385899925	11.5366142770197	12.5514907244024
TIGR03152	0	0	0	0	0	0
TIGR03148	0	0	0	0	0	0
TIGR02374	13.3339937126785	12.8804694120107	12.5269809438308	8.39891440261198	36.3558671257638	34.1791194032594
