Head	CymD.C.HB	CymD.C.HRP	CymD.C.LB	CymD.C.LRP	CymD.C.MRP	CymS.C.B	CymS.C.HRP.1	CymS.C.HRP.2	CymS.C.LRP.1	CymS.C.LRP.2	CymS.C.NBB.1	CymS.C.NBB.2
PF01654	1512.57277628877	2120.47365307952	312.437295517988	1905.76601837635	1851.00866428106	465.004835391869	7697.24209864399	1930.9746602693	1618.0723886978	3001.28488679324	415.824133840812	99.7853959040199
PF02335	974.117861745842	782.247503189024	24.9099252404796	824.441671599193	851.242758489649	252.430678897676	282.684575991361	135.464408777691	747.451137508214	112.791126557356	146.833942123354	8.78093701114366
PF02406	2016.03075517998	1206.09079630512	257.058589702698	2740.91077351449	2008.98258957667	446.144921770286	8268.13905087523	2207.25397799183	811.994877194312	2288.68654808081	190.978066549504	85.5775686183004
PF03892	1010.07424232922	21989.3024979057	384.401931673576	3124.48639888203	1937.7346265543	28.3792531591483	2449.92174047001	6427.95540850651	38694.9920345731	487.734222995572	147.457963325117	39.0805276108503
PF05048	0	0	0	0	0	0	0	0	0	0	0	0
PF06778	21351.3782512002	20212.1292471708	1734.50453009035	18858.813627675	15549.9531050497	6828.03640585939	9899.91219191617	3086.50548036232	16468.0123625298	1814.73436628219	1446.28836861709	225.162418687671
PF07682	0	0	0	0	0	0	0	0	0	0	0	0
PF08679	0	0	0	0	0	0	0	0	0	0	0	0
PF09242	0	0	0	0	0	0	0	0	0	0	0	0
TIGR00014	5734.3740294016	8578.03308718385	1031.96569629139	7076.16020096581	7160.24727476041	2166.56693518815	19819.0854449451	17321.8026306618	9140.10094372712	5318.44467680315	1981.50684295161	610.107372552471
TIGR00016	563.408346060555	495.706389247252	238.403199820513	1309.30940246817	1289.55571877958	723.586406985873	8524.12012137722	2191.54917218842	386.850913489108	2163.18727865159	118.830066829633	54.4826518438351
TIGR00192	5713.03214061118	8140.00668060734	803.495004652803	6204.97009866361	7602.58334966251	2289.28020193231	13149.3262794639	3385.36913277818	6952.82949023679	3601.85849068268	873.588687184432	208.2054429505
TIGR00193	5713.03214061118	8140.00668060734	803.495004652803	6204.97009866361	7602.58334966251	2289.28020193231	13149.3262794639	3385.36913277818	6952.82949023679	3601.85849068268	873.588687184432	208.2054429505
TIGR00203	518.354661957107	666.074013822418	255.444934776877	1145.79035156846	1308.0710569291	184.560632959139	7509.75219825663	1865.12945081025	403.902735913364	2959.36184745444	308.809365409226	90.6388171122906
TIGR00316	0	0	0	0	0	0	0	0	0	0	0	0
TIGR00339	23282.0546179855	42839.7879687136	2213.23897183755	24626.8020604296	18964.9728401585	6365.05417493154	13927.0635774684	10549.7154890975	55918.6826362245	3237.31511804589	1923.18238370648	456.885830130684
TIGR00381	0	0	0	0	0	0	0	0	0	0	0	0
TIGR00455	6507.72585612305	7435.64194809332	742.138202055489	7953.30648966516	8038.36272967302	2430.39350075287	13019.5556055969	3552.87241803514	6237.66544718572	3730.91093425753	955.881141036273	197.649132826377
