Head	CymD.B.Mean	CymD.P.Mean	CymS.B.Mean	CymS.P.Mean
HVA-1089	2.01983034	3.445178681	1.5944972	6.028446021
HVA-1091	2.892945856	6.145523771	6.457328521	15.97013742
HVA-1093	27.28384126	80.48174992	9.859834038	51.57049213
HVA-1094	23.69600027	21.90459554	16.55765193	14.64533659
HVA-1095	1.21648222	2.23103131	1.560284998	5.302074037
HVA-1096	8.861976419	16.22520121	1.376005508	5.20067906
HVA-1097	1.913611855	5.01767013	2.453520019	4.242168774
HVA-1099	4.118428687	11.04392939	2.502920589	8.267312805
HVA-1100	11.00363611	33.84205659	7.753447101	17.97782723
HVA-1102	17.7551483	3.325065205	14.51502031	12.43473244
HVA-1103	1054.337698	240.962699	708.1298296	634.3665837
HVA-1104	24.3130689	51.94247856	21.50214469	64.10618458
HVA-1105	1.219037729	2.315604973	2.653323402	3.959792342
HVA-1116	2.521605616	7.638779723	1.135149189	4.360314092
HVA-1117	15.11993429	29.08253502	3.624662415	13.32205687
HVA-1119	6.270085258	27.51421846	3.129268712	14.8154498
HVA-1120	9.650736256	106.8339997	3.953188723	336.701076
HVA-1123	18.58188003	42.11995521	3.829090988	19.84278113
HVA-1124	8.335628148	21.62861624	1.788386755	85.50128682
HVA-1125	20.58068802	30.5571747	22.1786157	36.99815534
HVA-1128	14.32047263	25.52590313	7.270280403	16.72646449
HVA-1129	13.90011672	26.58643205	13.22656914	15.81879869
HVA-1130	2.385364712	11.23620536	1.944840564	54.27776471
HVA-1132	6.358047765	12.2393424	2.945179561	8.741961254
HVA-1133	0.676043911	2.043686803	2.546043249	3.898724463
HVA-1136	8.177209053	19.74470598	4.828448904	12.4157928
HVA-1139	57.35446532	96.81356445	6.80485862	38.97906116
HVA-1140	6.648066925	19.29690863	1.423732738	7.66230147
HVA-1141	8.532860084	21.52407119	5.018240558	18.36609067
HVA-1142	9.297844932	15.75553562	4.711448789	9.916962738
HVA-1145	2.333877675	7.276413154	1.000997287	3.481067766
HVA-1146	13.40499978	59.1983194	8.898635306	18.02284549
HVA-1147	53.55602574	76.81603291	51.18336802	1060.249
HVA-1148	64.88629622	58.82833048	70.41358652	78.68972682
HVA-1150	5.61251417	8.436540432	3.911084525	8.776743601
HVA-1152	17.89688859	50.55230516	2.906424489	26.9002316
HVA-1153	30.01670903	86.44321761	8.451451362	50.58322025
HVA-1154	14.72862155	274.9037951	2.00925396	418.5293782
HVA-1156	127.6178034	254.5418888	15.22388001	91.31923154
HVA-1157	3.077162585	11.50492956	0.920141697	3.300223973
HVA-1158	3.930540119	10.98054315	3.445226951	9.614874544
HVA-1159	27.00977833	90.80346088	5.773164384	77.00722007
HVA-1160	9.500838346	17.31583837	0.912994109	4.600784927
HVA-1161	2.451460437	6.98972501	1.060021779	3.721231997
HVA-1164	8.80955877	15.38733983	4.289264506	6.773956936
HVA-1165	69.76872937	234.2783494	50.97186546	112.108121
HVA-1167	161.881345	53.73146581	65.25718357	43.54225061
HVA-1168	45.72663124	33.98116989	186.4365927	30.08405708
HVA-1169	1.837038561	6.98302009	0.2236147	2.125933239
HVA-1172	28.87906119	50.43337399	5.872852379	23.36907977
HVA-1174	9.065229249	13.18389401	2.034592353	4.04636905
HVA-1175	7.999305639	29.28670387	2.158085195	15.00088085
HVA-1177	8.224879785	21.93525554	2.733055895	12.76211389
HVA-1178	9.172743257	21.84165696	4.026795535	12.31932805
HVA-1180	5324.809418	652.1465582	3805.085656	2511.408483
HVA-1181	15.96440963	28.79625565	3.386140854	12.90647708
HVA-1182	10.96221989	9.245587703	10.44823702	9.84109486
HVA-1183	69.72889806	111.435581	8.338155628	47.0017161
HVA-1184	12.73739223	33.555025	7.813662134	17.15852507
HVA-1185	49.62596502	85.07290819	37.02716946	75.60562892
HVA-1186	3.886325372	13.65930904	1.707831953	5.499413515
HVA-1189	65.31186407	112.7253288	37.87125929	79.02219054
HVA-1190	15.65418411	32.58458344	3.100195737	19.82692174
