Head	Cyc1	FoxY	KEGG.B01	KEGG.B07	Manganese_oxidase_K22348	PF02406	PF03892	TIGR00014	TIGR00780	TIGR00781	TIGR02064	TIGR02066	TIGR02374	TIGR03126	TIGR04488	nitric_oxide_reductase_norB	rubisco_form_I	sulfur_dioxygenase_sdo
Acidobacteria	0	0	0	0	0.719983747525012	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000859942021303114
Alphaproteobacteria	0	0	0.195730429786288	0	0	0.0601218589104708	0	0	0	0	0	0	0	0	0	0	0	0.00022657068106793
Alphaproteobacteria-Pelagibacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.956886904707138
Alphaproteobacteria-Rhodospirillales	0	0	0.804269570213711	0.259543702744301	0.205585978100225	0.741134350123843	0	0.155441614867001	0	0	0	0	0	0	0.183214061150839	0	0	0.00455221687023197
Alphaproteobacteria-UBA7887	0	0	0	0	0.0744302743747622	0	0	0	0	0	0	0	0	0	0	0	0	0
Chloroflexi	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014061517380104
Deltaproteobacteria-SAR324	0.0492231654606761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143868959255792
Epsilonproteobacteria-Campylobacterales	0	0	0	0	0	0	0	0.460890155534175	0.446091093493431	0.518025117752511	0	0	0	0	0.692632862284906	0	0	0
Gammaproteobacteria-LS-SOB	0.323703291168734	0	0	0.421816491686124	0	0	0	0.207947222791396	0	0	0	0	0	0	0.0455422766266311	0	0	0.00403494267461811
Gammaproteobacteria-Nitrosococcales	0.0507847113965613	0	0	0	0	0.198743790965687	0	0.0324361164998455	0.208293058948101	0.0806270572404285	0	0	0.237479910879475	1	0	1	0	0
Gammaproteobacteria-Pseudomonadales	0	0	0	0	0	0	0	0.00474359569470938	0	0	0	0	0	0	0	0	0	0.000109532675036298
Gammaproteobacteria-SAR86	0.108173021421906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00159533117203888
Gammaproteobacteria-Thiomicrospirales	0.401328621453138	0	0	0	0	0	1	0.0185641600895108	0.345615847558469	0.401347825007061	1	1	0.762520089120525	0	0.0786107999376239	0	1	0.00151012314707211
Gammaproteobacteria-UBA11654	0.0667871890989845	0	0	0	0	0	0	0.0426568742194045	0	0	0	0	0	0	0	0	0	0
Gemmatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Latescibacteria	0	0	0	0.043492340912027	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marine Group II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marine Group III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000718751622061252
Marinimicrobia	0	0	0	0.275147464657548	0	0	0	0.0660630488320814	0	0	0	0	0	0	0	0	0	0.000552976895527506
Planctomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poribacteria	0	0	0	0	0	0	0	0.0112572114718764	0	0	0	0	0	0	0	0	0	0
Thaumarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000504294228221733
Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verrucomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
