Head	Cyc1	FoxY	KEGG.B01	KEGG.B07	Manganese_oxidase_K22348	PF02406	PF03892	TIGR00014	TIGR00780	TIGR00781	TIGR02064	TIGR02066	TIGR02374	TIGR03126	TIGR04488	nitric_oxide_reductase_norB	rubisco_form_I	sulfur_dioxygenase_sdo
Acidobacteria	0	0	0	0	0.590209958443201	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alphaproteobacteria	0	0	0.28363515492413	0	0	0.0876547789195792	0	0	0	0	0	0	0	0	0	0	0	0.00683688378742601
Alphaproteobacteria-Pelagibacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58368618974029
Alphaproteobacteria-Rhodospirillales	0	0	0.71636484507587	0.171368641492409	0.260130918572366	0.66415746811442	0	0.156824785085213	0	0	0	0	0	0	0.130844752042434	0	0	0.083819678050172
Alphaproteobacteria-UBA7887	0	0	0	0	0.149659122984432	0	0	0	0	0	0	0	0	0	0	0	0	0
Chloroflexi	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deltaproteobacteria-SAR324	0.0109293847464562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.209684518580244
Epsilonproteobacteria-Campylobacterales	0	0	0	0	0	0	0	0.287061433493416	0.0948838454111012	0.100239831771	0	0	0	0	0.246959008610356	0	0	0
Gammaproteobacteria-LS-SOB	0.129504923092384	0	0	0.456933921454822	0	0	0	0.344699318083608	0	0	0	0	0	0	0.045178600505655	0	0	0
Gammaproteobacteria-Nitrosococcales	0.0171534984327575	0	0	0	0	0.248187752966001	0	0.0457722048094415	0.0801475760474361	0.0282239107020441	0	0	0.0521671002170743	1	0	1	0	0
Gammaproteobacteria-Pseudomonadales	0	0	0	0	0	0	0	0.00490046815320059	0	0	0	0	0	0	0	0	0	0
Gammaproteobacteria-SAR86	0.00263708506128564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gammaproteobacteria-Thiomicrospirales	0.832442500218499	0	0	0	0	0	1	0.0475579100680242	0.824968578541463	0.871536257526956	1	1	0.947832899782926	0	0.577017638841555	0	1	0.105675552905687
Gammaproteobacteria-UBA11654	0.00733260844861762	0	0	0	0	0	0	0.0195662509903301	0	0	0	0	0	0	0	0	0	0
Gemmatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Latescibacteria	0	0	0	0.0302603571766736	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marine Group II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marine Group III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marinimicrobia	0	0	0	0.341437079876096	0	0	0	0.0806119811705261	0	0	0	0	0	0	0	0	0	0.0102971769361809
Planctomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poribacteria	0	0	0	0	0	0	0	0.0130056481462405	0	0	0	0	0	0	0	0	0	0
Thaumarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verrucomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
