Head	Cyc1	FoxY	KEGG.B01	KEGG.B07	Manganese_oxidase_K22348	PF02406	PF03892	TIGR00014	TIGR00780	TIGR00781	TIGR02064	TIGR02066	TIGR02374	TIGR03126	TIGR04488	nitric_oxide_reductase_norB	rubisco_form_I	sulfur_dioxygenase_sdo
Acidobacteria	0	0	0	0	0.980860074895255	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000527448535199921
Alphaproteobacteria	0	0	0.326936017634128	0	0	0.1142651931509	0	0	0	0	0	0	0	0	0	0	0	0.000145251634700654
Alphaproteobacteria-Pelagibacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.973783740614572
Alphaproteobacteria-Rhodospirillales	0	0	0.673063982365872	0.120594417470721	0.0118002799677083	0.705714101228365	0	0.0458132185110969	0	0	0	0	0	0	0.0369644210714315	0	0	0.00138963718023126
Alphaproteobacteria-UBA7887	0	0	0	0	0.00733964513703625	0	0	0	0	0	0	0	0	0	0	0	0	0
Chloroflexi	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00269949967461455
Deltaproteobacteria-SAR324	0.10555869009282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0158824707132272
Epsilonproteobacteria-Campylobacterales	0	0	0	0	0	0	0	0.664227359505581	0.770079253531476	0.813877534385093	0	0	0	0	0.917262744270477	0	0	0
Gammaproteobacteria-LS-SOB	0.188884595125779	0	0	0.322805684703781	0	0	0	0.0748248433386378	0	0	0	0	0	0	0.0326857736775917	0	0	0.00111062447522292
Gammaproteobacteria-Nitrosococcales	0.0295986351116121	0	0	0	0	0.180020705620735	0	0.00976912141050078	0.0807215072351922	0.0284375151341664	0	0	0.18445210641772	1	0	1	0	0
Gammaproteobacteria-Pseudomonadales	0	0	0	0	0	0	0	0.0144938662641018	0	0	0	0	0	0	0	0	0	0.000339514457892106
Gammaproteobacteria-SAR86	0.240230357662948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00185731571512464
Gammaproteobacteria-Thiomicrospirales	0.262804525024978	0	0	0	0	0	1	0.0212475109655828	0.149199239233332	0.15768495048074	1	1	0.81554789358228	0	0.0130870609805001	0	1	0.00125241770115502
Gammaproteobacteria-UBA11654	0.172923196981862	0	0	0	0	0	0	0.0570738380211661	0	0	0	0	0	0	0	0	0	0
Gemmatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Latescibacteria	0	0	0	0.057861806342217	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marine Group II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marine Group III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000276144673699827
Marinimicrobia	0	0	0	0.498738091483281	0	0	0	0.0772768727678818	0	0	0	0	0	0	0	0	0	0.000235479330718147
Planctomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poribacteria	0	0	0	0	0	0	0	0.0352733692154516	0	0	0	0	0	0	0	0	0	0
Thaumarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000500455293642181
Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verrucomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
