Head	KEGG.C02	TIGR00014	TIGR00192	TIGR00193	TIGR00203	TIGR00780	TIGR00781	TIGR00782	TIGR01792	TIGR02064	TIGR02066	TIGR02374	TIGR02378	TIGR03126	TIGR04486	TIGR04555	acetate_kinase	alcohol_dehydrogenase	aldehyde_dehydrogenase	nife−group−1
Acidobacteria	0.185282353877121	0	0.032410563281401	0.032410563281401	0	0	0	0.0769571549218686	0.0359024597265363	0	0	0	0	0	0	0.19114037074416	0	0.0070021661609568	0.0139551575389854	0
Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0216217328524833	0.0180386300926705	0
Alphaproteobacteria	0	0	0.048076276262093	0.048076276262093	0	0	0	0	0.0532559880960827	0	0	0	0	0	0	0	0	0.0171535052684211	0.0207004118780712	0
Alphaproteobacteria-Pelagibacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.781440544762886	0.100400609585417	0.0814576925945044	0
Alphaproteobacteria-Rhodospirillales	0	0.135998092427576	0.0294382225356586	0.0294382225356586	0	0	0	0	0.0326098806068516	0	0	0	0	0	0.349719821987893	0.204597471208136	0	0.0954771784182225	0.134917625712718	0
Alphaproteobacteria-UBA7887	0	0	0.0552719860704005	0.0552719860704005	0	0	0	0.0281592590590044	0.0612269597621276	0	0	0	0	0	0	0.0372343739424798	0	0.0143424858536501	0.0118993500114156	0
Chloroflexi	0	0	0.0897955266554681	0.0897955266554681	0	0	0	0	0.099470047816821	0	0	0	0	0	0	0	0	0.116167973952512	0.178635378159319	0
Deltaproteobacteria-SAR324	0	0	0	0	0	0	0	0.0468633289422716	0	0	0	0	0	0	0	0.0309831787542721	0	0.10548343990766	0.00990159493571397	0
Epsilonproteobacteria-Campylobacterales	0	0.171489653911319	0	0	0.244508795169452	0.163191881800011	0.265947506296878	0.122666127907238	0	0	0	0	0	0	0.146995854047944	0.224341956861655	0	0.029413600128687	0.0716951350133251	0
Gammaproteobacteria-LS-SOB	0	0.245838155164918	0.169390024858054	0.169390024858054	0	0	0	0.0929825135158802	0.187640013928212	0	0	0	0	0	0	0	0	0.214246729880614	0.192362718388369	0
Gammaproteobacteria-Nitrosococcales	0.814717646122879	0.146776336606745	0.427544079729011	0.427544079729011	0.755491204830548	0.579563384111005	0.314830686929615	0.290426196130007	0.473607446143908	0	0	0.474363993548442	0.382808149738767	1	0	0.192012111659926	0	0.129433604793947	0.061363172819881	0
Gammaproteobacteria-Pseudomonadales	0	0.0331799465783519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01253977949947	0.0277432567553026	0
Gammaproteobacteria-SAR86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00376967616651112	0	0
Gammaproteobacteria-Thiomicrospirales	0	0.0808303489674086	0	0	0	0.257244734088985	0.419221806773507	0.160908572297767	0	1	1	0.525636006451558	0.424184275793368	0	0.503284323964163	0	0	0.051222692797864	0.0373849538354285	0
Gammaproteobacteria-UBA11654	0	0.0805554518917254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015222260858935	0.0336780316929398	0
Gemmatimonadetes	0	0	0	0	0	0	0	0.181036847225964	0	0	0	0	0	0	0	0.119690536829371	0	0.00576302099889931	0.019125332857578	0
Latescibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00367812585292108	0	0
Marine Group II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marine Group III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marinimicrobia	0	0.0791659469954554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.218559455237114	0.0486345467909086	0.0556856314313563	0
Planctomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.7939240904362e-05	0.000517302964971869	0
Poribacteria	0	0.0261660674565015	0.0762190111120614	0.0762190111120614	0	0	0	0	0.0562872039194607	0	0	0	0	0	0	0	0	0.00659267117861817	0	0
Thaumarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0	0	0.0718543094958521	0.0718543094958521	0	0	0	0	0	0	0	0	0.193007574467864	0	0	0	0	0	0.0309386233174497	0
Verrucomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00175625981239811	0	0
