Head	Cyc1	FoxY	KEGG.B01	KEGG.B07	Manganese_oxidase_K22348	PF02406	PF03892	TIGR00014	TIGR00780	TIGR00781	TIGR02064	TIGR02066	TIGR02374	TIGR03126	TIGR04488	nitric_oxide_reductase_norB	rubisco_form_I	sulfur_dioxygenase_sdo
Acidobacteria	0	0	0	0	0.740857560153424	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alphaproteobacteria	0	0	0.332768165131339	0	0	0.0375597297495023	0	0	0	0	0	0	0	0	0	0	0	0.0014233168251597
Alphaproteobacteria-Pelagibacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.819787261486733
Alphaproteobacteria-Rhodospirillales	0	0	0.667231834868661	0.110619064621788	0.145442590712385	0.22593249616928	0	0.0204672125170208	0	0	0	0	0	0	0.0368048164828261	0	0	0.0134918338950032
Alphaproteobacteria-UBA7887	0	0	0	0	0.113699849134192	0	0	0	0	0	0	0	0	0	0	0	0	0
Chloroflexi	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deltaproteobacteria-SAR324	0.0108044968155631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0365949267620648
Epsilonproteobacteria-Campylobacterales	0	0	0	0	0	0	0	0.741695344336911	0.416635089480972	0.446648585232759	0	0	0	0	0.255079132550914	0	0	0
Gammaproteobacteria-LS-SOB	0.0522753270567168	0	0	0.599779834434639	0	0	0	0.0796265110260781	0	0	0	0	0	0	0.0297675863532438	0	0	0
Gammaproteobacteria-Nitrosococcales	0.0383099715065542	0	0	0	0	0.736507774081218	0	0.0556798226944751	0.100795670502841	0.036018924605195	0	0	0.0955311494152928	1	0	1	0	0
Gammaproteobacteria-Pseudomonadales	0	0	0	0	0	0	0	0.00257868090305662	0	0	0	0	0	0	0	0	0	0
Gammaproteobacteria-SAR86	0.00557154474728436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gammaproteobacteria-Thiomicrospirales	0.888629228417328	0	0	0	0	0	1	0.0706931188455121	0.482569240016187	0.517332490162046	1	1	0.904468850584707	0	0.678348464613016	0	1	0.127625384438469
Gammaproteobacteria-UBA11654	0.00440943145655333	0	0	0	0	0	0	0.00640868035212	0	0	0	0	0	0	0	0	0	0
Gemmatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Latescibacteria	0	0	0	0.0388286488172247	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marine Group II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marine Group III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marinimicrobia	0	0	0	0.250772452126348	0	0	0	0.0124506171960734	0	0	0	0	0	0	0	0	0	0.00107727659257036
Planctomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poribacteria	0	0	0	0	0	0	0	0.0104000121287532	0	0	0	0	0	0	0	0	0	0
Thaumarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verrucomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
