Head	CymD.B.Mean	CymD.P.Mean	CymS.B.Mean	CymS.P.Mean
SZUA-1089	0.54321049	0.502234086	2.252044053	2.699502025
SZUA-1091	0.590686967	0.38691596	2.670350075	2.98241944
SZUA-1093	7.278657047	6.623801549	6.33395586	6.290674791
SZUA-1094	12.26499998	7.821208884	4.128442874	2.790818993
SZUA-1095	0.627772959	0.792745665	2.870575358	3.455717644
SZUA-1096	2.885528977	5.51373279	1.856295251	2.619616957
SZUA-1097	2.136676656	1.446121743	3.58909475	3.178015869
SZUA-1099	1.557234499	1.738803474	3.602331422	3.80463716
SZUA-1100	11.78388773	7.50227296	9.033661206	7.3016302
SZUA-1102	7.757546432	4.697696064	7.877577506	6.821365833
SZUA-1103	9.256591322	12.15414265	7.730113904	11.10402958
SZUA-1104	3.460413324	3.339176809	10.6713059	14.21963986
SZUA-1105	0.815240812	0.747703512	4.371685851	3.78186435
SZUA-1116	1.821774053	2.616412624	2.133593413	2.821808211
SZUA-1117	6.91948539	8.230531892	6.457625046	6.77287803
SZUA-1119	15.09685855	8.312748867	5.146053672	3.552239545
SZUA-1120	1.562036056	1.983498997	0.545406914	10.19237398
SZUA-1123	4.504439795	6.102881436	4.238481169	4.972216989
SZUA-1124	6.14575312	2.447479453	4.482813889	16.72962895
SZUA-1125	35.7655868	20.93998372	37.79283202	27.53958005
SZUA-1128	1.265572581	1.22920036	2.472641232	2.349977007
SZUA-1129	13.42926289	9.866252192	10.31298501	7.643206523
SZUA-1130	0.151337368	0.201904983	0.608274722	4.606538688
SZUA-1132	2.099037064	1.726086222	2.829681844	2.218567406
SZUA-1133	2.097421624	1.301149533	11.01134752	8.386776365
SZUA-1136	5.322388645	4.3186955	5.26520554	3.754372266
SZUA-1139	22.67581955	18.05218099	3.470166628	2.818198178
SZUA-1140	1.70020379	3.492177845	2.150489842	3.244156084
SZUA-1141	4.240380299	3.77192292	6.439111687	6.173071402
SZUA-1142	12.40481931	8.627891538	9.856536048	8.434891231
SZUA-1145	5.289822671	5.204541154	3.216756466	2.568015164
SZUA-1146	13.0336062	9.231123893	4.722024657	4.112080413
SZUA-1147	0.483538583	0.182709591	0.221065994	14.13205029
SZUA-1148	0.009601357	0.056311942	0.005493236	5.414413023
SZUA-1150	3.896611605	4.535700398	2.599865481	2.361203398
SZUA-1152	10.51270909	12.32929867	6.432931293	6.502379372
SZUA-1153	9.783210088	8.987580114	4.467212091	4.250314409
SZUA-1154	5.474867169	8.070841744	2.762418879	3.738951652
SZUA-1156	24.78295786	29.18701252	6.913627237	7.46826941
SZUA-1157	9.457017745	6.923583531	1.764637771	1.380161612
SZUA-1158	13.47455675	7.977437439	6.394265001	5.507886011
SZUA-1159	15.16560454	14.84837469	11.8739119	15.34528617
SZUA-1160	3.537590478	6.964283849	1.594823736	2.325045887
SZUA-1161	6.68135719	6.435560448	2.946577086	2.349911572
SZUA-1164	8.793371579	6.72270024	2.338884468	2.154542077
SZUA-1165	48.11049428	28.80723207	43.21213934	31.58662082
SZUA-1167	14.61437548	9.794192242	3.860257251	2.561977966
SZUA-1168	4.275664008	6.17838552	3.378662671	3.893819643
SZUA-1169	7.136256856	5.659771047	0.18669832	0.141033885
SZUA-1172	6.512251377	6.257148317	1.969362556	1.920092223
SZUA-1174	9.706737449	6.547510863	2.481010283	1.257417435
SZUA-1175	18.3777921	11.58976672	3.767181985	2.587776683
SZUA-1177	6.747073143	5.589302514	5.324232122	4.539205732
SZUA-1178	7.2641706	5.76355166	3.847193393	2.654007339
SZUA-1180	25.15087971	34.68109684	19.51119281	28.76359233
SZUA-1181	7.481292695	9.01265322	5.821512174	6.108625131
SZUA-1182	20.66981577	14.91242165	10.05914935	9.181744491
SZUA-1183	32.4274021	23.68124453	5.487088805	4.270034901
SZUA-1184	11.64739148	7.567063908	7.162618833	5.725571249
SZUA-1185	11.71356359	9.871738067	15.11870373	13.75767214
SZUA-1186	10.9731095	8.171470779	4.721585072	3.507284432
SZUA-1189	20.55071002	15.20273253	18.86697044	15.27721649
SZUA-1190	16.96832325	12.62180262	6.414766265	5.214197825
