#Genome	Original Genome name	Microbial Group	Microbial Group obtaining method	Genome Phylogeny	Strain name	Genome mean coverage	Genome completeness (%)	Genome contamination (%)	Strain heterogeneity (%)	16S rRNA phylogeny (The longest identified fragment)	# ambiguous bases	# contigs	# predicted genes	# scaffolds	Coding density	GC	GC std	Genome size	Longest contig	Longest scaffold	Mean contig length	Mean scaffold length	N50 (contigs)	N50 (scaffolds)	Translation table	tRNAs decoding Standard 20 AA	Selenocysteine tRNAs	Possible suppressor tRNAs	tRNAs with undetermined/unknown isotypes	Predicted pseudogenes	Total tRNAs	Gram	Environment
SZUA-1001	SZU_Guaymas_Basin__P_1.21	Gammaproteobacteria-UBA11654	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA11654;f__UBA11654;g__UBA11654;s__UBA11654 sp1	Gammaproteobacteria bacterium SZUA-1001 [Class]	53.39	61.01	5.07	4.35	#N/A	0	148	1518	148	0.945433237	0.369696604	0.020471972	1441152	62132	62132	9737.513514	9737.513514	13165	13165	11	32	0	0	0	2	34	Gram Negative	GyBn
SZUA-1002	SZU_Guaymas_Basin__P_1.23	Planctomycetes	GTDB genome phylogeny	d__Bacteria;p__Planctomycetes;c__UBA8108;o__UBA1146;f__UBA1146;g__UBA1146;unclassified	Planctomycetes bacterium SZUA-1002 [Phylum]	57.82	89.78	2.15	0	Bacteria;Planctomycetes;Pla3 lineage;hydrothermal vent metagenome	0	272	2373	272	0.92596513	0.578646361	0.018233278	2808636	45332	45332	10325.86765	10325.86765	13878	13878	11	33	0	1	0	0	34	Gram Negative	GyBn
SZUA-1003	SZU_Guaymas_Basin__P_1.38	Gammaproteobacteria-Pseudomonadales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HTCC2207;unclassified	Porticoccaceae bacterium SZUA-1003 [Family]	8.95	75.4	1.6	40	#N/A	0	266	2086	266	0.913518309	0.462228513	0.013427699	2044664	34232	34232	7686.706767	7686.706767	8950	8950	11	25	0	0	0	0	25	Gram Negative	GyBn
SZUA-1004	SZU_Guaymas_Basin__P_1.40	Bacteroidetes	GTDB genome phylogeny	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA974;s__UBA974 sp1	Flavobacteriales bacterium SZUA-1004 [Order]	8.45	69.68	3.92	28.57	Archaea;Woesearchaeota (DHVEG-6);hydrothermal vent metagenome	0	288	2205	288	0.945497465	0.40955952	0.018430811	1963927	38414	38414	6819.190972	6819.190972	8152	8152	11	34	0	0	0	1	35	Gram Negative	GyBn
SZUA-1005	SZU_Guaymas_Basin__P_1.53	Nitrospinae	GTDB genome phylogeny	d__Bacteria;p__Nitrospinae;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae;g__LS-NOB;s__LS-NOB sp1	Nitrospinaceae bacterium SZUA-1005 [Famliy]	41.7	63.73	3.85	14.29	Bacteria;Nitrospinae;Nitrospinia;Nitrospinales;Nitrospinaceae;uncultured;uncultured bacterium	0	300	1732	300	0.875756298	0.426561246	0.016903751	1591469	40092	40092	5304.896667	5304.896667	5623	5623	11	20	0	0	0	0	20	Gram Negative	GyBn
SZUA-1006	SZU_Guaymas_Basin__P_1.56	Gammaproteobacteria-SAR86	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__SAR86;g__AEGEAN-183;s__AEGEAN-183 sp1	Gammaproteobacteria bacterium SZUA-1006 [Class]	31.15	64.42	0.97	20	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;SAR86 clade;uncultured gamma proteobacterium	0	102	1484	102	0.952171033	0.363146381	0.014629982	1416192	78462	78462	13884.23529	13884.23529	22787	22787	11	29	0	0	0	1	30	Gram Negative	GyBn
SZUA-1009	SZU_Guaymas_Basin__P_10.12	Planctomycetes	GTDB genome phylogeny	d__Bacteria;p__Planctomycetes;unclassified;unclassified;unclassified;unclassified;unclassified	Planctomycetes bacterium SZUA-1009 [Phylum]	13.71	96.77	2.15	0	Bacteria;Planctomycetes;OM190;hydrothermal vent metagenome	0	205	3491	205	0.930379206	0.637946024	0.021590966	4232902	121872	121872	20648.30244	20648.30244	41881	41881	11	51	0	1	1	1	54	Gram Negative	GyBn
SZUA-1010	SZU_Guaymas_Basin__P_10.19	Gammaproteobacteria-Pseudomonadales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp1	Pseudomonadales bacterium SZUA-1010 [Order]	13.57	88.28	1.48	14.29	#N/A	0	114	3404	114	0.889701448	0.494168898	0.015085605	3782561	210091	210091	33180.35965	33180.35965	55023	55023	11	31	0	0	0	1	32	Gram Negative	GyBn
SZUA-1011	SZU_Guaymas_Basin__P_10.23	Gammaproteobacteria-Pseudomonadales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax;unclassified	Alcanivorax sp. SZUA-1011 [Genus]	13.57	98.02	1.36	60	#N/A	0	192	3319	192	0.906051221	0.644608137	0.022124605	3457831	84981	84981	18009.53646	18009.53646	24268	24268	11	40	0	0	0	0	40	Gram Negative	GyBn
SZUA-1012	SZU_Guaymas_Basin__P_10.30	Bacteroidetes	GTDB genome phylogeny	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__BACL11;s__BACL11 sp1	Flavobacteriales bacterium SZUA-1012 [Order]	15.92	57.13	8.62	0	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NS9 marine group;hydrothermal vent metagenome	0	116	1067	116	0.945866169	0.331541439	0.015164213	1074282	38929	38929	9261.051724	9261.051724	12508	12508	11	15	0	0	0	0	15	Gram Negative	GyBn
