#Genome	Original Genome name	Microbial Group	Microbial Group obtaining method	Genome Phylogeny	Strain name	Genome mean coverage	Genome completeness (%)	Genome contamination (%)	Strain heterogeneity (%)	16S rRNA phylogeny (The longest identified fragment)	# ambiguous bases	# contigs	# predicted genes	# scaffolds	Coding density	GC	GC std	Genome size	Longest contig	Longest scaffold	Mean contig length	Mean scaffold length	N50 (contigs)	N50 (scaffolds)	Translation table	tRNAs decoding Standard 20 AA	Selenocysteine tRNAs	Possible suppressor tRNAs	tRNAs with undetermined/unknown isotypes	Predicted pseudogenes	Total tRNAs	Gram	Environment
SZUA-1089	SZU_Cayman_Shallow__BandP_1.36.P	Deltaproteobacteria-SAR324	GTDB genome phylogeny	d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__UBA8110;s__UBA8110 sp1	Deltaproteobacteria bacterium SZUA-1089 [Class]	11.06	61.83	9.88	55.56	Bacteria;Proteobacteria;Deltaproteobacteria;SAR324 clade(Marine group B);uncultured bacterium	0	481	2014	481	0.921626016	0.59108625	0.022026658	1773956	10289	10289	3688.058212	3688.058212	3615	3615	11	17	0	1	0	0	18	Gram Negative	CymS
SZUA-1091	SZU_Cayman_Shallow__BandP_1.9.P	Poribacteria	GTDB genome phylogeny	d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__UBA9662;g__UBA9662;unclassified	Candidatus Poribacteria bacterium SZUA-1091 [Phylum]	12.38	66.97	3.78	0	Bacteria;Poribacteria;hydrothermal vent metagenome	0	785	4295	785	0.869578404	0.436712267	0.019833385	4322528	29341	29341	5506.405096	5506.405096	5942	5942	11	27	0	0	0	0	27	Gram Negative	CymS
SZUA-1093	SZU_Cayman_Shallow__BandP_10.19.P	Chloroflexi	GTDB genome phylogeny	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__SAR202;f__UBA11138;g__UBA1123;unclassified	Dehalococcoidia bacterium SZUA-1093 [Class]	39.17	88.58	5.48	44.44	Bacteria;Chloroflexi;SAR202 clade;hydrothermal vent metagenome	0	401	3461	401	0.85845491	0.556948179	0.01549769	3179531	53187	53187	7929.004988	7929.004988	9929	9929	11	40	0	0	0	0	40	Gram Negative	CymS
SZUA-1094	SZU_Cayman_Shallow__BandP_10.24.B	Marine Group II	GTDB genome phylogeny	d__Archaea;p__Thermoplasmataeota;c__Epipelagoarchaeia;o__MGII;f__MGIIA;g__UBA623;s__UBA623 sp4	Marine Group II archaeon MGIIA SZUA-1094 [Class]	21.02	68.67	4.16	50	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured archaeon	0	106	1172	106	0.947384404	0.616471473	0.016335392	1261223	45737	45737	11898.33019	11898.33019	18401	18401	11	43	0	0	0	0	43	Archaea	CymS
SZUA-1095	SZU_Cayman_Shallow__BandP_10.28.P	Alphaproteobacteria-Rhodospirillales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__UBA2165;g__UBA2165;unclassified	Rhodospirillales bacterium SZUA-1095 [Order]	14.67	80.16	3.1	16.67	#N/A	0	432	2519	432	0.888175064	0.44596409	0.016809317	2438508	37995	37995	5644.694444	5644.694444	6148	6148	11	25	0	0	0	0	25	Gram Negative	CymS
SZUA-1096	SZU_Cayman_Shallow__BandP_10.30.P	Alphaproteobacteria-Rhodospirillales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Casp-alpha2;g__Casp-alpha2;unclassified	Rhodospirillales bacterium SZUA-1096 [Order]	15.4	85.99	2.82	7.69	#N/A	0	411	2613	411	0.905491899	0.575623768	0.025646889	2365903	38993	38993	5756.454988	5756.454988	6367	6367	11	28	0	0	1	0	29	Gram Negative	CymS
SZUA-1097	SZU_Cayman_Shallow__BandP_10.44.P	Verrucomicrobia	GTDB genome phylogeny	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096;unclassified	Verrucomicrobia bacterium SZUA-1097 [Phylum]	14.15	54.11	0	0	#N/A	0	360	1567	360	0.941415709	0.61252084	0.025009734	1569687	14785	14785	4360.241667	4360.241667	4465	4465	11	9	0	0	0	0	9	Gram Negative	CymS
SZUA-1099	SZU_Cayman_Shallow__BandP_11.35.P	Acidobacteria	GTDB genome phylogeny	d__Bacteria;p__Acidobacteria;c__DSM-100886;o__DSM-100886;f__UBA8438;g__UBA8438;unclassified	Acidobacteria bacterium SZUA-1099 [Phylum]	15.99	55.5	4.32	0	#N/A	0	216	1808	216	0.928972754	0.521734789	0.020983263	1842645	58789	58789	8530.763889	8530.763889	12079	12079	11	23	0	0	0	1	24	Gram Negative	CymS
SZUA-1100	SZU_Cayman_Shallow__BandP_11.42.P	Marinimicrobia	GTDB genome phylogeny	d__Bacteria;p__Marinimicrobia;c__Marinisomatia;o__Marinisomatales;f__Marinisomataceae;g__UBA2126;unclassified	Candidatus Marinimicrobia bacterium SZUA-1100 [Phylum]	45.61	69.33	0	0	#N/A	0	305	1681	305	0.945283411	0.410095858	0.027945849	1620843	23730	23730	5314.239344	5314.239344	5772	5772	11	25	0	1	0	2	28	Gram Negative	CymS
SZUA-1102	SZU_Cayman_Shallow__BandP_11.47.P	Gammaproteobacteria-SAR86	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__SAR86;g__AEGEAN-183;s__AEGEAN-183 sp1	Gammaproteobacteria bacterium SZUA-1102 [Class]	30.67	53.1	1.77	88.89	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;SAR86 clade;uncultured marine bacterium 311	0	233	1330	233	0.948223846	0.371344962	0.01859249	1181007	18883	18883	5068.699571	5068.699571	5575	5575	11	34	0	0	0	0	34	Gram Negative	CymS
SZUA-1103	SZU_Cayman_Shallow__BandP_11.58.P	Alphaproteobacteria-Pelagibacterales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__UBA2154;unclassified	Pelagibacteraceae bacterium SZUA-1103 [Family]	44.55	58.91	9.75	0	#N/A	0	154	812	154	0.962365561	0.303137755	0.020241695	698270	16218	16218	4534.220779	4534.220779	4540	4540	11	8	0	0	0	0	8	Gram Negative	CymS
SZUA-1104	SZU_Cayman_Shallow__BandP_11.9.P	Chloroflexi	GTDB genome phylogeny	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA11650;unclassified	Dehalococcoidia bacterium SZUA-1104 [Class]	60.85	79.87	7.62	33.33	#N/A	0	538	3337	538	0.85665474	0.578357778	0.016590719	3023867	26600	26600	5620.570632	5620.570632	6138	6138	11	32	0	0	0	0	32	Gram Negative	CymS
SZUA-1105	SZU_Cayman_Shallow__BandP_12.21.B	Gammaproteobacteria-Pseudomonadales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA11889;unclassified	Pseudomonadales bacterium SZUA-1105 [Order]	17.06	83.14	3.22	25	#N/A	0	226	2623	226	0.932475707	0.535328206	0.016760329	2664330	66775	66775	11789.0708	11789.0708	21833	21833	11	27	0	1	0	0	28	Gram Negative	CymS
SZUA-1116	SZU_Cayman_Shallow__BandP_3.31.P	Alphaproteobacteria	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;unclassified;unclassified;unclassified;unclassified	Alphaproteobacteria bacterium SZUA-1116 [Class]	11.51	77.38	7.75	11.54	#N/A	0	805	2915	805	0.93227681	0.619513344	0.024222695	2424177	16406	16406	3011.4	3011.4	3174	3174	11	15	0	0	0	0	15	Gram Negative	CymS
SZUA-1117	SZU_Cayman_Shallow__BandP_3.33.P	Alphaproteobacteria-Rhodospirillales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Casp-alpha2;g__Casp-alpha2;unclassified	Rhodospirillales bacterium SZUA-1117 [Order]	48.47	90.37	1.66	100	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;uncultured alpha proteobacterium	0	459	2525	459	0.895674911	0.621073047	0.02594179	2215076	23381	23381	4825.873638	4825.873638	6275	6275	11	27	0	0	0	0	27	Gram Negative	CymS
SZUA-1119	SZU_Cayman_Shallow__BandP_3.40.B	Marine Group III	GTDB genome phylogeny	d__Archaea;p__Thermoplasmataeota;c__Epipelagoarchaeia;o__Epipelagoarchaeales;f__Epipelagoarchaeaceae;g__Bathypelagoarchaeum;s__Bathypelagoarchaeum sp1	Marine Group III archaeon Bathy SZUA-1119 [Class]	21.72	69.56	5.78	63.64	#N/A	0	320	1167	320	0.953338575	0.655132714	0.026034941	925904	11863	11863	2893.45	2893.45	3111	3111	11	23	0	0	0	0	23	Archaea	CymS
SZUA-1120	SZU_Cayman_Shallow__BandP_3.44.P	Gammaproteobacteria-Thiomicrospirales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thioglobaceae;g__UBA2013;unclassified	Gammaproteobacteria bacterium SZUA-1120 [Class]	33.52	84.36	0.79	100	#N/A	0	73	1233	73	0.946478682	0.393751074	0.012305435	1117536	70097	70097	15308.71233	15308.71233	31962	31962	11	25	0	0	0	1	26	Gram Negative	CymS
SZUA-1123	SZU_Cayman_Shallow__BandP_4.24.P	Acidobacteria	GTDB genome phylogeny	d__Bacteria;p__Acidobacteria;c__DSM-100886;o__DSM-100886;f__UBA8438;g__UBA8438;unclassified	Acidobacteria bacterium SZUA-1123 [Phylum]	26.78	85.47	1.92	0	Bacteria;Acidobacteria;Subgroup 6;uncultured bacterium	0	150	2785	150	0.890276284	0.668178319	0.013499518	3177098	100937	100937	21180.65333	21180.65333	36102	36102	11	26	0	0	0	0	26	Gram Negative	CymS
SZUA-1124	SZU_Cayman_Shallow__BandP_4.26.P	Gammaproteobacteria-Nitrosococcales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__Methylophaga;s__Methylophaga aminisulfidivorans	Methylophaga aminisulfidivorans SZUA-1124 [Species]	55.35	98.94	1.09	0	#N/A	0	30	3005	30	0.923052585	0.43664388	0.023985872	3160626	940920	940920	105354.2	105354.2	334874	334874	11	37	0	0	0	1	38	Gram Negative	CymS
SZUA-1125	SZU_Cayman_Shallow__BandP_4.37.B	Deltaproteobacteria-SAR324	GTDB genome phylogeny	d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__Arctic96AD-7;s__Arctic96AD-7 sp1	Deltaproteobacteria bacterium SZUA-1125 [Class]	216.16	54.74	0	0	#N/A	0	389	1128	389	0.916390916	0.419654003	0.021282238	990933	7353	7353	2547.385604	2547.385604	2690	2690	11	2	0	0	0	1	3	Gram Negative	CymS
SZUA-1128	SZU_Cayman_Shallow__BandP_5.31.B	Chloroflexi	GTDB genome phylogeny	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA1141;unclassified	Dehalococcoidia bacterium SZUA-1128 [Class]	10.97	52.69	0.99	0	#N/A	0	638	2183	638	0.841553233	0.549634397	0.014967197	1884147	15680	15680	2953.208464	2953.208464	3020	3020	11	19	0	0	0	1	20	Gram Negative	CymS
SZUA-1129	SZU_Cayman_Shallow__BandP_5.44.B	Marinimicrobia	GTDB genome phylogeny	d__Bacteria;p__Marinimicrobia;c__Marinisomatia;o__SCGC-AAA003-L08;f__SCGC-AAA003-L08;g__SCGC-AAA003-L08;unclassified	Candidatus Marinimicrobia bacterium SZUA-1129 [Phylum]	44.39	67.23	0	0	#N/A	0	255	1006	255	0.937396714	0.372646062	0.024043257	817513	20832	20832	3205.933333	3205.933333	3436	3436	11	16	0	0	0	0	16	Gram Negative	CymS
